"id","y_2020"
2,738520
3,4880872
4,
5,655344
6,13052
7,
8,294894
9,780222
10,180544
11,594819
12,
13,690690
14,105655
15,1466500
16,295438
17,884736
18,1617245
19,1468656
20,44798
21,412224
22,1253706
23,374052
24,117120
25,2535320
26,42825
27,817589
28,
29,174250
30,696540
31,512928
32,
33,216384
34,34020
35,91728
36,986790
37,399546
38,203904
39,209472
40,119664
41,1278432
42,237240
43,864048
44,462701
45,448645
46,1142361
47,225215
48,512719
49,20286
50,102613
51,258192
52,258420
53,323070
54,154400
55,42700
56,614278
57,6856
58,762210
59,841491
60,306600
61,124632
62,
64,516128
65,
66,531947
67,1166592
68,217800
69,572234
70,1954736
71,107944
72,224580
73,40352
74,522000
75,159192
76,
77,282492
78,175536
79,119603
80,82928
81,642224
82,534106
83,110381
84,
85,1046538
86,126100
87,68343
88,944159
89,2549726
90,90474
91,275642
92,91615
93,346538
94,262300
95,1007736
96,78455
97,1089075
98,52516
99,81576
100,
101,506890
102,270657
103,78621
105,269400
106,196394
107,123552
108,
109,297600
110,705664
111,232672
112,6144
113,26202
114,176076
115,973833
116,200741
117,239304
118,671801
119,646963
120,1927220
121,14333
122,
123,473088
124,237006
125,385566
126,869260
127,588068
128,664007
129,
130,65046
131,818225
132,1554756
133,171000
134,98568
135,
136,512421
137,496128
138,286781
139,102663
140,545172
141,6800
142,290556
143,643539
144,97263
145,18840
146,312960
147,5452928
148,350240
149,420168
150,649392
151,228875
152,
153,638918
154,243950
155,829745
156,296946
157,896728
158,557406
159,194040
160,219108
161,824688
162,1297574
163,740154
164,126451
165,93264
166,30290
167,290550
168,205344
169,82524
170,88856
171,348040
172,593480
173,75899
174,125421
175,626470
176,208608
177,637823
178,569274
179,
180,174080
181,441842
182,
183,237600
184,652139
185,2388
186,229400
187,175200
188,451100
189,
190,255594
191,730719
192,52008
193,231660
194,298958
195,929408
196,677875
197,1081276
198,456972
199,221100
200,174004
201,120716
202,136188
203,30474
204,1547700
205,
206,193968
207,219264
208,
209,706986
210,497894
211,636864
212,788922
213,1235697
215,
216,409501
217,
218,
219,525400
220,605385
221,130530
222,821800
223,313782
224,285038
225,179620
226,1614430
227,186624
228,
229,483392
230,468578
231,874692
232,1155616
233,199281
234,129285
235,466092
236,251494
237,609672
238,346179
240,301704
241,
242,1422564
243,
244,414166
245,411212
246,98012
247,196092
248,400764
249,979368
250,
251,
252,
253,812238
254,59032
255,1210887
256,178089
257,662593
258,21360
259,21546
260,152152
261,159729
262,406272
263,1155681
264,534180
265,79361
266,541185
267,253970
268,410895
269,114492
270,435512
271,474456
272,416830
273,1182144
274,615186
275,286440
276,223545
277,35550
278,463488
279,586404
280,233266
281,1194184
282,1162128
283,532590
284,
285,
286,153282
287,833282
288,343533
289,2325180
290,
291,455399
292,147552
293,294720
294,281996
295,573674
296,27126
297,
298,136440
299,1128960
300,384064
301,693445
302,641424
303,419890
304,196854
305,250572
306,175140
307,220680
308,
309,1011318
310,1620920
311,238032
312,505596
313,265356
314,314247
315,
316,1564016
317,493500
318,1458668
319,2019500
320,
321,203619
322,558574
323,
324,
325,476807
326,192024
327,432915
328,89375
329,1099910
330,574590
331,66624
332,486921
333,1048882
334,386277
335,1639735
336,708812
337,695016
338,1153926
339,447816
343,284625
344,283370
345,101432
346,65552
347,473922
348,311588
349,241164
350,47008
351,132963
352,1185660
353,
354,33460
355,466320
356,1784138
357,1076100
358,419608
359,226880
360,213900
361,160650
362,1037818
363,285714
364,1287744
365,1087848
366,32795
367,626738
368,383900
369,49662
370,302876
371,859160
372,264028
373,129888
374,160949
375,877855
376,387420
377,1825324
378,627461
379,591500
380,1044528
381,1585080
382,480134
383,268580
385,190344
386,443918
387,618690
388,303380
389,466785
390,42336
391,211092
392,735278
393,1188128
394,114681
395,487319
396,446532
397,486780
398,429429
399,219261
400,620398
401,118128
402,1215487
403,213858
404,313266
405,237532
406,594027
407,
408,117264
409,
410,457968
411,667332
412,
413,1105572
416,660330
417,67968
418,33675
419,
420,415740
421,
422,261580
423,
424,343926
425,
426,163185
428,257275
430,524724
431,695400
432,189486
433,
434,
435,
436,
437,984956
438,86933
442,406144
443,617324
444,65625
445,205803
446,572088
447,621500
448,270504
449,
450,331936
451,558480
452,505700
453,299880
454,233590
455,171690
456,656032
457,
458,
459,22245
460,2415957
462,
463,1060254
464,388320
465,315752
466,160512
467,1058792
468,
469,
470,194775
471,443304
472,
473,578739
474,79002
475,59517
476,1095274
