,y_2020
0,11.3
1,55.8
2,4.21
3,2.16
4,6.94
5,3.45
6,11.92
7,3.14
8,14.23
9,10.28
10,11.03
11,18.98
12,15.29
13,8.62
14,21.77
15,11.88
16,13.97
17,17.31
18,13.54
19,12.74
20,6.55
21,6.58
22,4.1
23,11.22
24,11.09
25,11.8
26,5.22
27,4.71
28,10.67
29,7.42
30,1.71
31,6.43
32,8.69
33,8.64
34,10.62
35,7.79
36,7.97
37,10.03
38,13.13
39,6.54
40,12.08
41,4.89
42,5.17
43,17.15
44,9.31
45,8.48
46,5.9
47,5.56
48,9.24
49,9.36
50,7.08
51,10.47
52,5.06
53,8.07
54,3.09
55,5.35
56,4.49
57,12.18
58,15.12
59,3.73
60,0.0
61,19.16
62,11.54
63,11.37
64,6.78
65,11.74
66,5.73
67,5.19
68,14.71
69,12.91
70,10.78
71,5.63
72,8.34
73,9.11
74,19.48
75,9.14
76,6.08
77,13.11
78,4.97
79,11.94
80,6.29
81,1.54
82,5.88
83,9.94
84,4.82
85,4.8
86,5.48
87,7.64
88,8.65
89,13.31
90,4.57
91,3.86
92,10.6
93,23.15
94,13.63
95,12.25
96,6.66
97,7.29
98,6.68
99,4.28
100,5.63
101,9.19
102,6.01
103,10.62
104,4.68
105,7.11
106,7.96
107,15.96
108,6.51
109,16.25
110,4.21
111,16.43
112,15.25
113,15.48
114,4.48
115,7.15
116,6.48
117,8.96
118,0.0
119,10.32
120,7.26
121,12.28
122,5.44
123,11.46
124,8.66
125,9.76
126,7.0
127,7.21
128,3.16
129,4.36
130,5.02
131,5.32
132,5.05
133,4.58
134,3.38
135,6.45
136,8.83
137,3.81
138,11.02
139,5.6
140,11.99
141,6.09
142,5.23
143,9.6
144,8.4
145,4.02
146,5.24
147,13.15
148,2.02
149,14.02
150,10.49
151,13.73
152,15.72
153,3.42
154,10.31
155,4.18
156,10.88
157,9.11
158,6.61
159,6.12
160,15.55
161,10.28
162,3.01
163,3.2
164,7.49
165,9.48
166,4.29
167,4.59
168,13.51
169,3.34
170,5.07
171,8.78
172,11.15
173,10.35
174,18.43
175,6.14
176,4.95
177,11.98
178,2.37
179,3.65
180,6.49
181,10.49
182,8.39
183,3.83
184,6.45
185,7.38
186,4.04
187,10.02
188,11.46
189,4.63
190,10.0
191,2.14
192,6.05
193,9.12
194,6.23
195,13.67
196,3.82
197,9.38
198,6.6
199,6.64
200,7.33
201,2.85
202,5.77
203,18.57
204,6.44
205,12.88
206,12.25
207,10.77
208,4.87
209,6.14
210,2.86
211,2.53
212,4.69
213,13.64
214,9.45
215,6.82
216,11.99
217,6.33
218,6.52
219,15.32
220,4.16
221,3.46
222,9.17
223,4.11
224,13.36
225,10.53
226,9.93
227,13.27
228,11.28
229,13.79
230,8.72
231,9.33
232,13.45
233,7.52
234,9.14
235,5.63
236,3.96
237,0.25
238,7.44
239,7.3
240,10.21
241,2.66
242,7.09
243,5.56
244,3.18
245,6.5
246,4.25
247,7.98
248,6.46
249,11.84
250,17.14
251,13.42
252,14.33
253,10.4
254,12.63
255,8.15
256,12.26
257,9.73
258,7.48
259,5.41
260,10.03
261,18.35
262,7.42
263,11.64
264,4.93
265,4.16
266,8.44
267,7.87
268,4.93
269,11.03
270,8.01
271,7.11
272,7.9
273,6.97
274,7.53
275,3.74
276,5.85
277,10.99
278,8.18
279,0.0
280,2.31
281,12.19
282,9.26
283,14.21
284,0.34
285,9.69
286,4.61
287,3.9
288,3.86
289,4.12
290,6.3
291,1.35
292,4.89
293,10.89
294,3.92
295,9.8
296,10.2
297,8.14
298,3.25
299,3.83
300,3.91
301,12.87
302,4.37
303,6.15
304,8.71
305,5.16
306,3.94
307,4.76
308,7.11
309,9.01
310,14.18
311,1.92
312,7.94
313,10.95
314,4.16
315,5.22
316,4.22
317,10.9
318,6.33
319,10.92
320,4.3
321,6.94
322,8.08
323,5.13
324,7.45
325,9.08
326,7.56
327,8.33
328,3.25
329,11.53
330,20.58
331,8.41
332,11.29
333,12.69
334,9.01
335,7.11
336,5.65
337,10.41
338,3.39
339,11.11
340,5.25
341,7.24
342,5.92
343,9.24
344,9.55
345,9.71
346,11.49
347,16.96
348,12.43
349,22.65
350,10.39
351,15.35
352,6.52
353,12.06
354,11.68
355,11.63
356,7.88
357,3.84
358,31.04
359,10.8
360,3.98
361,12.49
362,29.13
363,51.25
364,10.97
365,10.94
366,11.09
367,14.06
368,21.3
369,23.12
370,12.41
371,19.07
372,18.68
373,7.43
374,16.86
375,16.49
376,7.45
377,10.76
378,12.28
379,32.8
380,7.81
381,9.22
382,37.93
383,26.59
384,13.31
385,11.55
386,9.12
387,10.13
388,3.84
389,9.29
390,10.67
391,8.57
392,5.38
393,8.75
394,7.23
395,13.29
396,10.15
397,7.14
398,13.43
399,9.94
400,8.25
401,4.82
402,1.92
403,10.98
404,7.13
405,9.07
406,12.29
407,10.52
408,10.25
409,5.89
410,11.28
411,9.92
412,5.83
413,6.4
414,9.98
415,8.63
416,13.59
417,7.6
418,10.18
419,3.02
420,11.99
421,1.55
422,6.06
423,14.05
424,12.78
425,6.9
426,3.95
427,7.69
428,8.15
429,4.67
430,11.13
431,15.2
432,9.97
433,12.52
434,13.81
435,4.15
436,8.22
437,5.94
438,7.87
439,7.87
440,3.39
441,4.12
442,9.4
443,16.69
444,11.14
445,8.31
446,15.15
447,8.41
448,9.37
449,0.56
450,6.79
451,7.68
452,12.5
453,5.09
454,9.3
455,8.7
456,5.33
457,81.97
