id,y_2011,y_2013,y_2015,y_2016,y_2017,y_2018,y_2020
118,23.0,23.0,23.0,23.0,23.0,23.0,25.0
119,34.0,30.0,30.0,26.0,26.0,26.0,150.0
120,28.0,29.0,30.0,30.0,30.0,30.0,45.0
121,82.0,84.0,83.0,83.0,82.0,83.0,106.0
122,41.0,41.0,41.0,41.0,41.0,41.0,52.0
123,4.0,4.0,4.0,4.0,4.0,3.0,5.0
124,24.0,18.0,17.0,16.0,17.0,16.0,16.0
125,19.0,19.0,18.0,18.0,17.0,17.0,20.0
126,,,,,,,1.0
127,6.0,6.0,6.0,6.0,6.0,6.0,16.0
128,,,,,,,
129,15.0,15.0,14.0,14.0,14.0,14.0,18.0
130,,,,,,,
131,4.0,4.0,4.0,4.0,4.0,4.0,4.0
132,17.0,17.0,17.0,17.0,17.0,16.0,20.0
133,5.0,6.0,6.0,6.0,7.0,7.0,8.0
134,58.0,59.0,61.0,60.0,60.0,60.0,87.0
135,70.0,70.0,69.0,69.0,68.0,69.0,92.0
136,28.0,27.0,28.0,28.0,28.0,28.0,34.0
137,24.0,25.0,26.0,26.0,26.0,28.0,38.0
138,107.0,105.0,105.0,105.0,104.0,105.0,134.0
139,26.0,26.0,26.0,24.0,24.0,25.0,47.0
140,4.0,4.0,4.0,4.0,4.0,4.0,3.0
141,10.0,10.0,10.0,9.0,10.0,10.0,14.0
142,7.0,7.0,7.0,7.0,7.0,7.0,8.0
143,10.0,11.0,11.0,11.0,11.0,11.0,11.0
144,11.0,11.0,11.0,11.0,10.0,11.0,22.0
145,4.0,4.0,4.0,4.0,4.0,4.0,7.0
146,9.0,9.0,9.0,9.0,9.0,9.0,17.0
147,6.0,6.0,7.0,7.0,7.0,7.0,8.0
148,7.0,7.0,7.0,7.0,7.0,7.0,13.0
149,1.0,1.0,1.0,1.0,1.0,1.0,1.0
150,23.0,23.0,24.0,25.0,25.0,25.0,56.0
151,12.0,12.0,13.0,13.0,13.0,13.0,36.0
152,9.0,9.0,9.0,9.0,10.0,12.0,15.0
153,11.0,11.0,10.0,10.0,10.0,9.0,12.0
154,151.0,150.0,146.0,145.0,143.0,141.0,215.0
155,40.0,40.0,43.0,40.0,41.0,42.0,73.0
156,16.0,15.0,15.0,14.0,15.0,14.0,17.0
157,44.0,44.0,46.0,45.0,45.0,45.0,66.0
158,5.0,5.0,5.0,5.0,4.0,4.0,9.0
159,25.0,24.0,24.0,24.0,24.0,24.0,25.0
160,66.0,66.0,64.0,66.0,66.0,66.0,77.0
161,67.0,68.0,67.0,67.0,67.0,68.0,85.0
162,13.0,13.0,13.0,14.0,14.0,14.0,22.0
163,6.0,7.0,7.0,7.0,7.0,7.0,11.0
164,7.0,8.0,8.0,8.0,8.0,8.0,31.0
165,2.0,2.0,2.0,2.0,2.0,2.0,12.0
166,1.0,1.0,1.0,,,1.0,
167,3.0,4.0,4.0,4.0,4.0,5.0,12.0
168,19.0,20.0,20.0,20.0,20.0,20.0,60.0
169,19.0,21.0,21.0,19.0,19.0,21.0,55.0
170,8.0,8.0,8.0,8.0,7.0,8.0,16.0
171,51.0,52.0,52.0,55.0,56.0,62.0,107.0
172,,,,,,,
173,1.0,1.0,2.0,2.0,2.0,2.0,2.0
174,1.0,1.0,1.0,1.0,1.0,1.0,1.0
175,110.0,109.0,108.0,107.0,107.0,107.0,152.0
