id,y_2011,y_2013,y_2015,y_2016,y_2017,y_2018,y_2020,y_2021,y_2022,y_2023
372,1966.917,1966.917,1966.917,1955.64,1955.64,1955.64,1955.64,1955.64,1951.72,1951.72
373,854.645,854.645,854.645,854.63,854.63,854.63,854.63,854.63,854.63,854.63
374,416.634,416.634,416.634,416.626,416.626,416.626,416.626,416.626,416.626,416.626
375,990.211,990.211,990.211,990.193,990.193,990.193,990.193,990.193,990.193,990.193
376,1151.087,1151.087,1151.087,1151.32,1151.32,1151.32,1151.32,1151.32,1151.93,1151.93
377,1080.882,1080.882,1080.882,1080.863,1080.863,1080.863,1080.863,1080.863,1082.79,1082.79
378,913.782,913.782,913.782,913.765,913.765,913.765,913.765,913.765,914.212,914.212
379,1074.461,1074.461,1074.461,1074.437,1074.437,1074.437,1074.437,1074.437,1078.28,1078.28
380,1881.211,1881.211,1881.211,1881.72,1881.72,1881.72,1881.72,1881.72,1881.72,1881.72
381,492.676,492.676,492.676,492.342,492.342,492.342,492.342,492.342,492.34,492.34
382,434.432,434.432,434.432,434.423,434.423,434.423,434.423,434.423,434.423,434.423
383,617.688,617.688,617.688,617.677,617.677,617.677,617.677,617.677,617.677,617.677
385,792.489,792.489,792.489,792.474,792.474,792.474,792.474,792.474,792.474,792.474
386,277.81,277.81,277.81,277.805,277.805,277.805,277.805,277.805,278.164,278.164
387,1788.308,1788.308,1788.308,1780.475,1780.475,1780.475,1780.475,1780.475,1783.6,1783.6
388,397.524,397.524,397.524,397.516,397.516,397.516,397.516,397.516,397.517,397.517
389,1099.746,1099.746,1099.746,1099.726,1099.726,1099.726,1099.726,1099.726,1099.73,1099.73
390,266.669,266.669,266.669,266.664,266.664,266.664,266.664,266.664,266.681,266.681
391,561.807,561.807,561.807,561.797,561.797,561.797,561.797,561.797,561.797,561.797
392,1466.811,1466.811,1466.811,1466.783,1466.783,1466.783,1466.783,1466.783,1466.78,1466.78
393,998.166,998.166,998.166,998.147,998.147,998.147,998.147,998.147,998.146,998.146
394,392.57,392.57,392.57,392.563,392.563,392.563,392.563,392.563,392.563,392.563
395,630.615,630.615,630.615,630.604,630.604,630.604,630.604,630.604,630.604,630.604
396,4493.685,4493.685,4493.685,4493.614,4493.614,4493.614,4493.614,4493.614,4518.33,4518.33
397,150.516,150.516,150.516,150.513,150.513,150.513,150.513,150.513,150.513,150.513
398,278.786,278.786,278.786,278.787,278.787,278.787,278.787,278.787,279.062,279.062
399,651.334,651.334,651.334,652.895,652.895,652.895,652.895,652.895,652.896,652.896
400,662.988,662.988,662.988,662.976,662.976,662.976,662.976,662.976,662.975,662.975
401,901.316,901.316,901.316,901.299,901.299,901.299,901.299,901.299,901.3,901.3
402,982.851,982.851,982.851,982.833,982.833,982.833,982.833,982.833,988.673,988.673
403,1789.252,1789.252,1789.252,1789.218,1789.218,1789.218,1789.218,1789.218,1790.42,1790.42
404,408.471,408.471,408.471,408.463,408.463,408.463,408.463,408.463,408.463,408.463
405,573.071,573.071,573.071,573.029,573.029,573.029,573.029,573.029,593.349,593.349
406,1378.687,1378.687,1378.687,1378.35,1378.35,1378.35,1378.35,1378.35,1378.31,1378.31
407,1494.968,1494.968,1494.968,1494.939,1494.939,1494.939,1494.939,1494.939,1495.27,1495.27
408,1111.173,1111.173,1111.173,1111.271,1111.271,1111.271,1111.271,1111.271,1111.43,1111.43
409,993.912,993.912,993.912,919.331,919.331,919.331,919.331,919.331,917.84,917.84
410,262.95,262.95,262.95,245.726,245.726,245.726,245.726,245.726,245.787,245.787
