"id","y_2014","y_2015","y_2016","y_2017","y_2018","y_2019","y_2021"
2,0.11,,0.09,0.1,0.54,0.28,0.11
3,0.06,0.2,0.16,0.22,0.37,0.15,0.48
4,,0.06,0.06,,0.28,0.11,0.09
5,0.09,0.12,0.08,,,,0.06
6,0.2,0.15,0.14,0.16,0.13,,0.14
7,,,,,,,0.09
8,,,,,,,0.11
9,,,,,,,
10,0.15,0.18,0.21,0.16,0.2,,0.13
11,0.07,0.07,0.14,,0.27,0.13,0.3
12,0.24,0.26,0.35,0.3,0.43,0.3,0.39
13,0.13,0.1,,,0.16,0.15,0.3
14,0.34,0.34,0.28,0.2,0.28,0.28,0.48
15,,0.06,0.07,0.16,,,0.12
16,0.37,0.29,0.39,0.44,0.73,0.49,0.54
17,0.3,0.29,0.32,0.47,0.36,0.31,0.3
18,0.1,0.12,0.11,0.23,0.4,0.21,0.3
19,0.15,0.12,0.19,0.2,0.25,0.14,0.32
20,0.2,0.24,0.24,0.24,0.32,0.26,0.24
21,0.21,0.15,0.3,0.3,0.23,0.14,0.24
22,,,,,,,
23,0.05,0.08,0.05,,0.18,,
24,0.06,0.07,0.08,,,,0.08
25,0.37,0.42,0.4,0.38,0.33,0.34,0.48
26,0.24,0.22,0.27,0.23,0.24,0.21,0.18
27,0.3,0.46,0.42,0.35,0.48,0.57,0.44
28,,,0.05,0.11,0.14,,0.18
29,0.11,0.09,0.14,,0.18,,0.1
30,0.2,0.13,0.09,0.14,0.15,0.18,
31,0.1,0.09,0.07,,0.15,,0.26
32,,,,,,,
33,,,0.05,,,,0.07
34,0.09,0.2,0.22,0.28,0.34,0.18,0.36
35,0.05,,0.08,0.11,0.19,0.13,0.14
36,0.06,0.09,0.14,,0.11,,0.2
37,0.17,0.11,0.11,,,,0.09
38,0.15,0.1,0.09,,0.2,0.22,0.21
39,0.23,0.49,0.36,0.34,0.41,0.41,0.39
40,0.2,0.17,0.29,0.47,0.32,0.28,0.25
41,0.09,0.11,0.13,0.13,,,0.2
42,0.08,0.1,0.06,,0.21,0.12,0.32
43,,0.1,0.14,,0.2,,0.14
44,,,,,,,
45,0.28,0.22,0.37,0.38,0.49,0.42,0.58
46,0.12,0.12,0.2,0.19,0.17,0.26,0.2
47,,,,,,,
48,0.3,0.23,0.17,0.18,0.13,0.21,0.22
49,0.16,0.2,0.18,0.16,0.23,0.13,0.19
50,0.32,0.26,0.27,0.3,0.52,0.36,0.34
51,,,,,,,
52,0.13,0.11,,0.14,,,0.1
53,0.22,0.31,0.15,,0.22,0.31,0.37
54,0.21,0.24,0.15,,0.25,0.23,0.2
55,0.08,0.08,0.13,0.12,0.14,,0.16
56,0.12,0.05,0.13,,0.11,0.12,
57,0.2,0.09,0.23,0.21,0.21,0.18,0.22
58,0.14,0.13,0.13,0.15,0.16,0.19,0.18
59,0.14,0.23,0.16,0.23,0.19,0.15,0.17
60,0.07,0.1,0.14,,0.15,0.12,0.14
61,0.07,0.12,,,,,0.09
62,,,,,,,
64,0.12,0.12,0.12,0.18,0.22,0.14,0.2
65,,,,,,,0.07
66,,0.06,,,,,0.11
67,,,,,,,
68,0.29,0.22,0.27,0.3,0.31,0.2,0.31
69,0.05,,0.05,0.1,0.12,,0.2
70,0.09,0.07,,0.11,0.12,0.12,0.1
71,0.3,0.24,0.18,0.13,0.14,0.15,0.33
72,0.13,0.15,0.22,0.11,0.21,0.22,0.19
73,0.24,0.17,0.26,0.18,0.4,0.37,0.32
74,0.05,0.05,0.05,,,,
75,0.17,0.13,0.15,0.19,0.37,0.16,0.39
76,0.18,0.34,0.37,0.23,0.37,0.28,0.27
77,0.56,0.5,0.57,0.39,0.6,0.47,0.73
78,0.17,0.21,0.18,0.22,0.23,0.29,0.2
79,0.11,0.13,0.07,,,,0.17
80,0.08,0.06,0.06,,,,0.08
81,0.11,0.09,0.08,0.12,0.12,0.11,0.12
82,0.22,0.32,0.24,0.27,0.28,0.3,0.34
83,0.15,0.16,0.19,0.12,0.26,0.16,0.32
84,0.05,,,,,,
85,,0.24,0.17,0.14,0.19,0.18,0.22
86,0.16,0.24,0.27,0.19,0.26,0.2,0.16
87,0.11,0.09,0.07,,,,
88,0.11,0.15,0.14,0.14,0.16,0.16,0.12
89,0.15,0.2,0.15,0.17,0.19,0.17,0.19
90,,0.12,0.13,,,,0.13
91,0.27,0.36,0.31,0.27,0.28,0.24,0.25
92,,0.07,0.09,0.12,,0.11,0.17
93,0.18,0.18,0.12,0.18,0.19,,0.13
94,0.14,0.09,0.16,,0.12,0.16,0.18
95,0.18,0.11,0.13,0.17,0.15,0.19,0.22
96,0.39,0.29,0.39,0.37,0.37,0.36,0.42
97,0.3,0.23,0.33,0.24,0.33,0.29,0.4
98,0.34,0.25,0.36,0.39,0.5,0.4,0.55
99,0.12,0.11,0.11,,0.12,0.15,0.16
100,0.07,0.16,0.24,0.23,0.18,0.18,0.14
101,0.19,0.16,0.2,0.15,0.27,0.22,0.32
102,0.19,0.12,0.19,0.14,0.12,0.14,0.15
103,0.21,0.15,0.19,0.2,0.19,0.22,0.11
105,0.06,,0.05,0.12,,,0.11
106,0.06,0.09,,,,,0.15
107,0.26,0.29,0.22,0.24,0.27,0.17,0.2
108,0.2,0.18,0.09,0.15,0.18,0.14,0.15
109,0.24,0.15,0.14,,0.2,0.12,0.13
110,0.11,0.14,0.12,0.11,0.17,0.17,0.17
111,0.2,0.25,0.35,0.36,0.56,0.41,0.61
112,0.08,0.08,0.11,0.14,0.12,,0.12
113,0.26,0.5,0.47,0.52,0.47,0.48,0.65
114,0.12,0.07,0.08,0.12,,0.11,0.15
115,0.46,0.51,0.65,0.46,0.86,0.78,1.07
116,0.26,0.25,0.21,0.23,0.27,0.2,0.38
117,0.43,0.58,0.44,0.56,0.69,0.61,0.71
118,0.19,0.14,0.14,0.13,0.19,0.14,0.07
119,0.15,0.16,0.14,0.12,0.15,,0.15
120,0.1,0.22,0.17,0.12,0.12,,0.22
121,0.19,0.19,0.18,0.1,0.19,0.36,0.27
122,,,,,,,
123,0.23,0.18,0.25,0.21,0.21,0.15,0.13
124,0.07,0.2,0.2,0.18,0.13,0.11,0.2
125,0.29,0.34,0.42,0.33,0.43,0.19,0.37
126,,,,,,,0.08
127,0.11,0.11,0.17,0.2,0.15,0.17,0.3
128,0.32,0.26,0.36,0.25,0.26,0.23,0.37
129,0.05,,0.09,0.1,0.25,,0.24
130,0.06,0.06,0.05,,0.11,,0.09
131,0.23,0.32,0.23,0.26,0.34,0.3,0.32
132,,,,,,,
133,,,0.05,,,,0.11
134,0.11,0.08,0.07,,0.16,0.12,0.17
135,,0.06,0.07,0.12,0.33,0.25,0.12
136,0.1,0.14,0.11,0.14,0.14,,0.18
137,0.16,0.27,0.28,0.3,0.22,0.21,0.38
138,0.05,0.1,0.13,0.1,0.15,,0.07
139,0.17,0.11,0.11,0.15,0.21,,0.16
140,0.22,0.33,0.27,0.32,0.37,0.31,0.25
141,0.08,0.13,0.11,,0.13,,0.05
142,0.25,0.19,0.22,0.47,0.33,0.3,0.44
143,,0.07,,,0.16,,0.13
144,0.24,0.22,0.33,0.4,0.3,0.32,0.35
145,0.22,0.2,0.29,0.28,0.29,0.31,0.33
146,0.3,0.24,0.17,0.19,0.27,0.2,0.23
147,0.18,0.2,0.35,0.29,0.23,0.24,0.28
148,0.16,0.22,0.22,0.24,0.19,0.14,0.25
149,0.1,0.12,0.17,0.1,0.12,,0.14
150,0.18,0.21,0.21,0.19,0.33,0.24,0.23
151,0.46,0.36,0.43,0.55,0.7,0.6,0.7
152,0.08,0.06,0.06,,,,0.11
153,0.37,0.33,0.31,0.27,0.46,0.42,0.57
154,0.16,0.27,0.09,0.21,0.29,0.11,0.31
155,0.13,0.17,0.21,0.26,0.34,0.25,0.31
156,0.37,0.38,0.4,0.41,0.36,0.44,0.66
157,0.14,0.11,0.06,,,,
158,0.2,0.44,0.31,0.45,0.54,0.4,0.41
159,0.07,0.17,,,,0.12,0.09
160,0.34,0.39,0.26,0.25,0.26,0.32,0.35
161,0.09,0.19,0.06,0.1,0.24,0.23,0.27
162,0.24,0.18,0.3,0.21,0.29,0.19,0.18
163,,,0.05,,,,0.1
164,0.32,0.26,0.5,0.5,0.4,0.24,0.54
165,0.15,0.29,0.19,0.32,0.26,0.23,0.27
166,0.09,,0.09,,0.23,0.13,0.12
167,,0.07,0.05,,,,
168,0.09,0.12,0.16,0.18,0.26,0.16,0.12
169,0.17,0.22,0.19,0.2,0.37,0.38,0.48
170,0.25,0.17,0.3,0.18,0.27,0.33,0.31
171,0.05,,0.08,,,,0.07
172,0.4,0.28,0.25,0.37,0.4,0.41,0.73
173,0.13,0.08,0.16,0.28,0.18,0.22,0.18
174,0.17,0.25,0.25,0.19,0.26,0.15,0.23
175,0.12,0.16,0.1,0.16,0.11,0.21,0.16
176,0.32,0.25,0.47,0.35,0.45,0.33,0.4
177,,,0.1,,0.16,,0.21
178,,,,,,,0.11
179,0.08,0.1,0.06,0.16,0.15,,0.19
180,0.12,0.22,0.1,0.17,0.23,0.15,0.24
181,0.11,0.15,0.17,0.12,0.17,0.17,0.27
182,0.14,0.07,0.11,,,,
183,0.07,0.07,,,0.18,0.14,0.13
184,,,0.07,,,,0.06
185,0.31,0.23,0.25,0.28,0.2,0.23,0.27
186,0.32,0.35,0.31,0.38,0.45,0.27,0.31
187,0.09,0.11,0.09,,0.15,0.15,0.08
188,0.11,0.22,0.19,0.12,0.38,,0.38
189,0.07,0.05,0.08,,,0.11,0.09
190,0.16,0.2,0.1,,0.15,,0.13
191,0.24,0.25,0.22,0.31,0.29,0.23,0.2
192,0.13,0.16,0.29,0.2,0.26,0.26,0.25
193,0.11,0.13,0.14,0.12,,,0.21
194,0.37,0.35,0.5,0.4,0.43,0.57,0.53
195,0.22,0.28,0.15,0.22,0.26,0.17,0.36
196,0.32,0.25,0.28,0.31,0.26,0.24,0.28
197,0.2,0.18,0.26,0.16,0.33,0.13,0.21
198,0.11,0.07,0.09,0.12,0.12,,0.15
199,0.2,0.16,0.39,0.28,0.43,0.31,0.34
200,0.07,,0.09,0.11,0.11,0.11,0.09
201,0.16,0.07,0.17,0.1,0.21,,0.28
202,0.28,0.25,0.37,0.42,0.3,0.3,0.4
203,0.18,0.18,0.18,0.14,0.26,0.19,0.28
204,0.1,0.06,0.16,0.1,0.21,0.17,0.22
205,0.07,0.08,0.08,0.1,0.13,,0.14
206,0.15,0.13,0.16,0.14,0.17,0.14,0.21
207,0.05,0.05,0.09,0.11,0.16,0.15,0.11
208,0.07,0.09,0.09,,0.2,,0.24
209,0.41,0.34,0.31,0.66,0.45,0.43,0.49
210,,0.06,0.05,,,,0.12
211,0.4,0.34,0.41,0.38,0.42,0.45,0.36
212,0.11,0.14,0.07,,,,0.15
213,0.08,0.14,0.07,0.1,0.11,,0.1
215,,,0.06,,,,0.06
216,,0.06,0.05,,,,0.09
217,,0.05,0.06,,0.11,,0.11
218,0.12,0.09,0.06,0.12,0.2,0.17,0.19
219,0.07,,,,,,
220,0.14,0.16,0.2,0.24,0.2,0.24,0.21
221,0.15,0.1,0.12,0.1,0.22,0.18,0.19
222,,,,,,,
223,0.13,0.2,0.15,0.3,0.35,0.18,0.2
224,0.13,0.17,0.11,0.14,0.17,0.15,0.21
225,0.1,0.06,0.06,0.11,0.27,0.17,0.08
226,,,,,,,0.07
227,0.3,0.24,0.28,0.39,0.34,0.26,0.29
228,0.13,0.05,0.07,,,,0.11
229,0.18,0.21,0.36,0.44,0.52,0.51,0.63
230,0.11,0.1,,,,0.16,0.15
231,0.16,0.2,0.14,0.17,0.28,0.19,0.3
232,0.22,0.2,0.22,0.26,0.32,0.19,0.35
233,0.1,0.09,0.13,,0.19,,0.22
234,0.45,0.39,0.48,0.39,0.57,0.41,0.54
235,0.14,,0.12,0.12,0.18,,0.24
236,,,0.05,,,,0.08
237,0.26,0.27,0.32,0.39,0.42,0.37,0.3
238,0.18,0.28,0.34,0.34,0.4,0.2,0.34
240,,0.08,,,,,0.08
241,0.06,0.09,0.06,,0.21,,0.17
242,0.25,0.19,0.24,0.32,0.29,0.15,0.2
243,,,,,,,0.1
244,0.11,0.17,0.19,0.15,0.24,0.24,0.25
245,0.11,0.05,0.09,0.1,0.16,,0.08
246,0.13,0.13,0.13,0.23,0.11,0.13,0.23
247,0.11,0.05,0.06,,0.12,,0.09
248,0.11,0.09,0.09,0.15,0.11,0.14,0.12
249,0.07,0.12,0.13,0.2,0.3,0.25,0.16
250,0.12,0.16,0.09,0.13,0.15,0.13,0.06
251,0.15,0.19,0.16,0.22,0.27,0.22,0.31
252,0.06,0.07,0.07,,,,0.09
253,0.2,0.12,0.23,0.17,0.23,0.21,0.14
254,,,,,,,0.08
255,0.25,0.14,0.29,0.21,0.39,0.28,0.28
256,0.13,0.24,0.2,0.18,0.26,0.24,0.42
257,0.38,0.33,0.42,0.43,0.68,0.5,0.72
258,0.25,0.38,0.42,0.38,0.49,0.24,0.37
259,0.25,0.29,0.29,0.2,0.27,0.15,0.23
260,0.4,0.37,0.36,0.39,0.42,0.26,0.38
261,0.25,0.21,0.21,0.14,0.32,0.24,0.34
262,0.27,0.19,0.23,0.22,0.17,0.2,0.22
263,0.13,0.1,0.09,0.1,0.21,0.11,0.26
264,0.14,0.19,0.14,0.16,0.23,0.21,0.21
265,0.08,0.09,0.05,0.11,,0.14,0.07
266,0.31,0.22,0.39,0.34,0.38,0.38,0.38
267,0.61,0.4,0.57,0.49,0.76,0.53,0.61
268,0.19,0.2,0.22,0.26,0.21,0.27,0.17
269,0.13,0.16,0.12,0.13,0.27,0.13,0.27
270,0.1,0.13,0.1,0.11,0.22,,0.18
271,0.12,0.14,0.15,0.15,0.18,,0.15
272,0.07,0.07,0.1,0.1,,,0.07
273,0.09,0.13,0.17,0.2,0.13,0.17,0.15
274,0.05,0.07,,,,,0.12
275,0.16,0.15,0.12,0.12,0.15,0.16,0.21
276,0.25,0.11,0.19,0.19,0.24,0.16,0.19
277,0.1,0.22,0.18,0.17,0.14,0.17,0.19
278,0.06,0.1,0.1,0.13,,,0.26
279,0.06,0.08,,,,,0.13
280,0.15,0.28,0.14,0.3,0.26,0.23,0.28
281,0.12,0.19,0.08,,0.13,0.13,0.17
282,0.19,0.31,0.24,0.2,0.24,0.11,0.27
283,0.35,0.34,0.19,0.31,0.25,0.27,0.27
284,0.22,0.21,0.19,0.21,0.37,0.21,0.28
285,,,,,,,
286,,0.05,,0.11,,,0.08
287,0.21,0.16,0.13,0.11,0.17,0.26,0.18
288,0.07,0.13,0.13,0.19,0.16,0.15,0.15
289,0.42,0.31,0.31,0.33,0.49,0.5,0.54
290,0.06,0.07,0.09,0.12,0.12,0.12,0.06
291,0.28,0.25,0.3,0.21,0.3,0.26,0.28
292,0.12,0.11,0.1,0.2,,,0.07
293,0.07,,,,0.12,,0.11
294,0.08,0.12,0.08,,0.11,,0.06
295,0.13,0.19,0.13,,0.15,,0.12
296,0.12,0.09,0.18,0.17,0.22,0.22,0.32
297,,,,,,,
298,0.13,0.09,0.11,,0.11,,0.22
299,0.26,0.28,0.25,0.3,0.31,0.28,0.45
300,0.07,,,,,,
301,0.22,0.26,0.21,0.23,0.24,0.21,0.31
302,0.23,0.17,0.16,0.13,0.26,0.11,0.45
303,0.12,0.1,0.1,0.1,,0.15,0.19
304,0.11,,0.1,,0.12,,0.12
305,0.07,0.08,0.08,,0.16,,0.1
306,,0.11,,,,,0.13
307,0.29,0.44,0.34,0.39,0.38,0.45,0.5
308,0.15,0.12,0.13,0.16,0.19,0.13,0.27
309,0.29,0.17,0.22,0.3,0.28,0.25,0.34
310,0.41,0.31,0.43,0.48,0.38,0.31,0.45
311,,0.11,0.07,,,,0.09
312,0.17,0.15,0.3,0.21,0.22,0.17,0.25
313,0.21,0.17,0.31,0.23,0.26,0.18,0.22
314,0.1,0.19,0.17,0.23,0.3,0.13,0.3
315,,,,,,,
316,0.35,0.24,0.44,0.54,0.34,0.29,0.39
317,0.05,,,,,,0.06
318,0.08,,,,,,0.09
319,0.37,0.34,0.35,0.4,0.35,0.41,0.37
320,,,0.05,,0.22,0.23,0.13
321,0.15,0.16,,,,,0.13
322,,0.11,0.11,0.1,,,0.21
323,0.45,0.38,0.31,0.43,0.25,0.18,0.41
324,0.1,,0.12,,,,0.11
325,0.26,0.3,0.24,0.23,0.43,0.25,0.3
326,,0.07,0.07,,,,
327,0.18,0.17,0.28,0.26,0.19,0.15,0.28
328,0.1,,0.08,0.1,,,0.14
329,0.24,0.28,0.22,0.16,0.32,0.23,0.3
330,0.23,0.19,0.23,0.2,0.19,0.24,0.27
331,0.06,0.1,0.11,0.1,0.13,,0.11
332,0.15,0.09,0.14,0.22,0.23,0.15,0.25
333,0.18,0.34,0.24,0.32,0.33,0.28,0.34
334,,,,,,,
335,0.3,0.38,0.31,0.32,0.38,0.34,0.42
336,0.33,0.3,0.19,0.3,0.34,0.16,0.47
337,0.13,0.12,0.16,,,0.12,0.13
338,0.06,0.06,0.05,,,,
339,,,,,,,
343,,,0.08,,,,0.07
344,,0.07,,,0.15,,0.08
345,,0.05,,0.1,0.12,0.14,0.12
346,0.2,0.25,0.28,0.24,0.27,0.3,0.26
347,0.1,,0.06,,,,
348,0.12,0.09,0.2,0.24,0.24,0.29,0.27
349,0.15,0.16,0.17,,,,0.11
350,,,0.11,,0.18,0.13,0.16
351,0.11,0.1,0.09,,,,0.06
352,0.22,0.31,0.26,0.44,0.46,0.41,0.27
353,0.18,0.19,0.29,0.11,0.3,,0.39
354,0.09,0.05,,,,,0.12
355,0.08,,0.07,,0.14,0.13,0.19
356,0.27,0.28,0.38,0.41,0.62,0.37,0.66
357,0.06,0.1,0.11,0.15,0.18,,0.13
358,0.22,0.16,0.17,0.2,0.48,0.17,0.43
359,0.09,0.05,0.11,,0.14,0.14,0.15
360,0.45,0.41,0.47,0.32,0.47,0.43,0.55
361,,0.12,0.05,0.1,,,0.14
362,0.35,0.44,0.24,0.22,0.13,0.2,0.25
