id,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022,y_2023
2,5.0,5.0,8.0,10.0,38.0,10.0,7.0,13.0,6.0,10.0,8.0,9.0,7.0
3,157.0,181.0,149.0,163.0,95.0,126.0,157.0,136.0,152.0,149.0,124.0,108.0,122.0
4,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,3.0,0.0,7.0
5,19.0,1.0,0.0,0.0,10.0,3.0,9.0,3.0,14.0,1.0,1.0,2.0,2.0
6,6.0,2.0,6.0,4.0,0.0,4.0,5.0,8.0,5.0,20.0,16.0,18.0,12.0
7,27.0,30.0,25.0,41.0,34.0,22.0,38.0,28.0,21.0,40.0,32.0,26.0,50.0
8,2.0,16.0,2.0,3.0,3.0,2.0,3.0,3.0,8.0,1.0,4.0,6.0,18.0
9,2.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0
10,2.0,8.0,3.0,4.0,5.0,7.0,1.0,10.0,7.0,3.0,22.0,4.0,13.0
11,6.0,11.0,8.0,17.0,23.0,29.0,19.0,13.0,10.0,13.0,9.0,12.0,7.0
12,5.0,1.0,3.0,1.0,4.0,6.0,2.0,17.0,0.0,15.0,4.0,4.0,2.0
13,3.0,3.0,17.0,10.0,425.0,10.0,8.0,9.0,13.0,14.0,21.0,21.0,7.0
14,2.0,4.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,2.0,2.0,7.0
15,1.0,2.0,1.0,7.0,5.0,0.0,3.0,2.0,1.0,5.0,8.0,1.0,2.0
16,3.0,3.0,4.0,2.0,1.0,10.0,10.0,6.0,10.0,8.0,18.0,8.0,9.0
17,3.0,6.0,0.0,0.0,0.0,0.0,1.0,36.0,4.0,1.0,47.0,4.0,2.0
18,12.0,7.0,29.0,9.0,6.0,9.0,15.0,12.0,9.0,14.0,14.0,15.0,13.0
19,7.0,10.0,7.0,11.0,18.0,2.0,12.0,2.0,9.0,12.0,3.0,4.0,42.0
20,4.0,35.0,116.0,63.0,34.0,29.0,27.0,3.0,3.0,6.0,4.0,9.0,2.0
21,11.0,8.0,6.0,12.0,17.0,14.0,15.0,8.0,6.0,15.0,6.0,18.0,32.0
22,15.0,10.0,5.0,13.0,8.0,9.0,15.0,28.0,30.0,36.0,24.0,65.0,40.0
23,2.0,6.0,8.0,2.0,33.0,2.0,9.0,10.0,45.0,10.0,2.0,1.0,6.0
24,1.0,1.0,4.0,0.0,1.0,1.0,3.0,5.0,3.0,4.0,3.0,4.0,6.0
25,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0
26,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0
27,2.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0
28,32.0,9.0,12.0,13.0,9.0,2.0,7.0,3.0,2.0,9.0,3.0,10.0,7.0
29,2.0,2.0,1.0,0.0,0.0,1.0,1.0,6.0,2.0,2.0,2.0,1.0,2.0
30,9.0,13.0,47.0,19.0,15.0,28.0,34.0,18.0,6.0,62.0,17.0,12.0,12.0
31,0.0,3.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,4.0,0.0,1.0,44.0
32,5.0,26.0,7.0,7.0,9.0,4.0,54.0,8.0,7.0,7.0,7.0,5.0,4.0
33,7.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,2.0
34,3.0,1.0,0.0,2.0,1.0,3.0,2.0,2.0,0.0,5.0,3.0,4.0,4.0
35,1.0,1.0,4.0,3.0,0.0,2.0,7.0,4.0,1.0,9.0,4.0,5.0,5.0
36,2.0,10.0,8.0,2.0,6.0,1.0,1.0,5.0,7.0,5.0,3.0,3.0,9.0
37,3.0,4.0,3.0,3.0,5.0,0.0,3.0,8.0,15.0,8.0,12.0,7.0,10.0
38,17.0,13.0,23.0,31.0,16.0,26.0,28.0,18.0,13.0,11.0,31.0,16.0,19.0
39,0.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,4.0,4.0,1.0
40,0.0,0.0,0.0,4.0,4.0,1.0,4.0,7.0,1.0,2.0,2.0,17.0,5.0
41,31.0,4.0,5.0,0.0,10.0,28.0,3.0,9.0,4.0,3.0,2.0,2.0,2.0
42,1.0,2.0,238.0,11.0,1.0,7.0,3.0,1.0,4.0,2.0,2.0,8.0,2.0
43,1.0,2.0,2.0,1.0,23.0,0.0,3.0,5.0,0.0,2.0,28.0,3.0,4.0
44,3.0,0.0,2.0,3.0,8.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0
45,0.0,1.0,1.0,207.0,24.0,3.0,27.0,16.0,12.0,14.0,8.0,7.0,13.0
46,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0
47,3.0,8.0,1.0,3.0,2.0,4.0,10.0,4.0,24.0,10.0,4.0,2.0,2.0
48,2.0,1.0,0.0,3.0,3.0,5.0,0.0,24.0,1.0,2.0,3.0,5.0,2.0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,4.0,1.0
50,3.0,3.0,2.0,4.0,0.0,9.0,1.0,46.0,6.0,5.0,11.0,8.0,1.0
51,3.0,9.0,3.0,7.0,10.0,7.0,5.0,9.0,10.0,9.0,22.0,41.0,35.0
52,18.0,12.0,47.0,8.0,21.0,9.0,12.0,10.0,14.0,17.0,11.0,7.0,6.0
53,6.0,10.0,4.0,4.0,9.0,1.0,1.0,3.0,12.0,11.0,1.0,2.0,15.0
54,7.0,4.0,11.0,11.0,8.0,16.0,20.0,9.0,22.0,10.0,9.0,22.0,12.0
55,3.0,4.0,5.0,9.0,6.0,1.0,3.0,13.0,9.0,4.0,8.0,10.0,18.0
56,9.0,8.0,9.0,10.0,9.0,5.0,5.0,7.0,7.0,26.0,4.0,7.0,5.0
57,14.0,27.0,16.0,5.0,5.0,1.0,1.0,3.0,0.0,5.0,2.0,1.0,3.0
58,2.0,31.0,1.0,16.0,12.0,3.0,0.0,5.0,2.0,1.0,3.0,0.0,7.0
59,0.0,3.0,36.0,3.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,2.0,2.0
60,16.0,7.0,5.0,19.0,9.0,26.0,9.0,10.0,5.0,2.0,7.0,3.0,3.0
61,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,13.0,1.0,3.0,0.0,3.0
62,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
64,10.0,7.0,26.0,7.0,35.0,7.0,6.0,15.0,9.0,28.0,10.0,9.0,10.0
65,0.0,1.0,6.0,2.0,3.0,9.0,2.0,3.0,0.0,2.0,2.0,5.0,4.0
66,16.0,15.0,42.0,13.0,30.0,17.0,25.0,18.0,22.0,24.0,23.0,24.0,18.0
67,0.0,48.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
68,13.0,19.0,12.0,9.0,17.0,17.0,7.0,28.0,36.0,20.0,32.0,30.0,38.0
69,7.0,5.0,8.0,3.0,7.0,4.0,4.0,10.0,3.0,3.0,2.0,4.0,10.0
70,3.0,2.0,4.0,2.0,2.0,4.0,5.0,1.0,1.0,1.0,13.0,3.0,2.0
71,0.0,0.0,7.0,0.0,3.0,0.0,0.0,4.0,9.0,19.0,28.0,1.0,2.0
72,27.0,36.0,20.0,17.0,8.0,35.0,24.0,29.0,18.0,6.0,12.0,15.0,33.0
73,8.0,6.0,10.0,18.0,16.0,9.0,14.0,12.0,16.0,16.0,22.0,9.0,16.0
74,1.0,11.0,9.0,15.0,24.0,18.0,3.0,3.0,2.0,1.0,2.0,5.0,2.0
75,1.0,0.0,0.0,1.0,1.0,3.0,9.0,2.0,1.0,3.0,3.0,2.0,2.0
76,2.0,5.0,2.0,4.0,7.0,11.0,1.0,13.0,7.0,10.0,4.0,6.0,8.0
77,1.0,3.0,3.0,9.0,1.0,5.0,8.0,2.0,3.0,11.0,3.0,8.0,2.0
78,10.0,27.0,8.0,15.0,28.0,20.0,21.0,12.0,12.0,5.0,11.0,13.0,31.0
79,0.0,1.0,3.0,14.0,3.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0
80,0.0,1.0,0.0,0.0,8.0,2.0,4.0,1.0,2.0,1.0,1.0,6.0,1.0
81,0.0,0.0,0.0,1.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
82,2.0,10.0,3.0,14.0,3.0,4.0,4.0,2.0,5.0,4.0,0.0,11.0,2.0
83,2.0,1.0,0.0,6.0,4.0,2.0,0.0,2.0,5.0,0.0,1.0,2.0,1.0
84,2.0,0.0,1.0,0.0,3.0,2.0,4.0,3.0,13.0,4.0,9.0,3.0,6.0
85,1.0,0.0,3.0,3.0,0.0,1.0,3.0,1.0,0.0,0.0,5.0,2.0,2.0
86,1.0,1.0,11.0,28.0,125.0,77.0,39.0,0.0,2.0,2.0,3.0,7.0,1.0
