"id","y_2011","y_2012","y_2013","y_2014","y_2015","y_2016","y_2017","y_2018","y_2019","y_2020","y_2021","y_2022"
115,7.18,7.18,7.18,7.18,7.18,7.18,7.18,7.18,7.18,7.18,7.18,7.25
116,36.59,36.59,36.59,36.59,36.59,36.59,36.59,36.59,36.59,36.59,36.59,36.7
117,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,10
118,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2
119,10.18,10.18,10.18,10.18,10.18,10.18,10.18,10.18,10.18,10.18,10.18,10.21
120,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.85
121,4.62,4.62,4.62,4.62,4.63,4.63,4.63,4.63,4.63,4.63,4.63,5.36
122,38.04,38.04,38.04,38.04,38.15,38.15,38.15,38.15,38.15,38.15,38.15,38.17
123,12.13,12.13,12.13,12.13,12.13,12.13,12.13,12.13,12.13,12.13,12.13,12.27
124,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.07
125,10.2,10.2,10.2,10.2,10.19,10.19,10.19,10.19,10.19,10.19,10.19,10.31
126,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41
127,4.49,4.49,4.49,4.49,4.49,4.49,4.49,4.49,4.49,4.49,4.49,4.51
128,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69
129,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85
130,36.17,36.17,36.17,36.17,36.18,36.18,36.18,36.18,36.18,36.18,36.18,45.11
131,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
132,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89
133,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.58
134,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16
135,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41
136,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,7.04
137,7.29,7.29,7.29,7.29,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.07
138,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09
139,6.37,6.37,6.37,6.37,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.46
140,10.45,10.45,10.45,10.45,10.45,10.45,10.45,10.45,10.45,10.45,10.45,10.55
141,6.81,6.81,6.81,6.81,6.79,6.79,6.79,6.79,6.79,6.79,6.79,6.78
142,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.45
143,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.94
144,2.46,2.46,2.46,2.46,2.46,2.46,2.46,2.46,2.46,2.46,2.46,2.46
145,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.19
146,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.41
147,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.66
148,5.97,5.97,5.97,5.97,5.97,5.97,5.97,5.97,5.97,5.97,5.97,5.98
149,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.77
150,5.58,5.58,5.58,5.58,5.58,5.58,5.58,5.58,5.58,5.58,5.58,5.63
151,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35
152,5.91,5.91,5.91,5.91,5.94,5.94,5.94,5.94,5.94,5.94,5.94,5.98
153,8.13,8.13,8.13,8.13,8.13,8.13,8.13,8.13,8.13,8.13,8.13,8.17
154,7.31,7.31,7.31,7.31,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.34
155,12.46,12.46,12.46,12.46,12.46,12.46,12.46,12.46,12.46,12.46,12.46,12.49
156,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.94
157,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.71
158,12.21,12.21,12.21,12.21,12.31,12.31,12.31,12.31,12.31,12.31,12.31,12.86
159,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.9
160,7.76,7.76,7.76,7.76,7.76,7.76,7.76,7.76,7.76,7.76,7.76,7.78
161,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.98
162,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68
163,1.74,1.74,1.74,1.74,1.74,1.74,1.74,1.74,1.74,1.74,1.74,1.74
164,6.42,6.42,6.42,6.42,6.42,6.42,6.42,6.42,6.42,6.42,6.42,6.43
165,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81
166,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.54
167,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84
168,2.28,2.28,2.28,2.28,2.28,2.28,2.28,2.28,2.28,2.28,2.28,2.28
169,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.43
170,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75
171,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.88
172,9.42,9.42,9.42,9.42,9.42,9.42,9.42,9.42,9.42,9.42,9.42,9.43
173,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.81
174,31.79,31.79,31.79,31.79,31.78,31.78,31.78,31.78,31.78,31.78,31.78,32.15
175,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.22
176,4.69,4.69,4.69,4.69,4.69,4.69,4.69,4.69,4.69,4.69,4.69,4.77
177,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07
178,20.22,20.22,20.22,20.22,20.25,20.25,20.25,20.25,20.25,20.25,20.25,20.46
179,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02
180,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99
181,10.21,10.21,10.21,10.21,10.21,10.21,10.21,10.21,10.21,10.21,10.21,10.52
182,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18
183,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.26
