id,y_2013,y_2015,y_2016,y_2017,y_2018,y_2022,y_2023
2,1.6,1.52,1.5,1.52,1.52,1.697579,1.8
3,2.2,2.26,2.2,2.14,2.14,2.32797,2.3
4,1.6,1.72,1.8,1.72,1.72,1.747251,1.7
5,1.5,1.65,1.6,1.57,1.57,1.663098,1.7
6,1.7,1.84,1.8,1.73,1.73,1.831607,1.8
7,1.5,1.51,1.5,1.5,1.51,1.509453,1.5
8,1.3,1.3,1.3,1.31,1.31,1.557539,1.6
9,1.7,1.7,1.7,1.7,1.7,1.888276,1.9
10,1.6,1.63,1.7,1.69,1.69,1.837711,1.8
11,1.8,1.8,1.7,1.74,1.74,1.807716,1.8
12,1.4,1.35,1.3,1.35,1.35,1.510847,1.4
13,1.6,1.62,1.6,1.62,1.62,1.699542,1.7
14,1.4,1.39,1.3,1.32,1.32,1.585262,1.6
15,1.6,1.58,1.6,1.55,1.55,1.716794,1.7
16,1.4,1.43,1.5,1.43,1.43,1.629849,1.6
17,1.4,1.4,1.4,1.39,1.39,1.452469,1.5
18,1.5,1.52,1.6,1.56,1.56,1.54334,1.5
19,1.6,1.63,1.7,1.62,1.62,1.726691,1.7
20,1.4,1.46,1.5,1.46,1.47,1.476896,1.5
21,1.3,1.3,1.3,1.31,1.31,1.361559,1.4
22,1.4,1.53,1.4,1.42,1.43,1.700889,1.7
23,1.7,1.68,1.7,1.67,1.67,1.787712,1.8
24,1.7,1.73,1.8,1.73,1.73,1.811133,1.9
25,1.5,1.54,1.6,1.54,1.54,1.540797,1.6
26,1.1,1.47,1.3,1.37,1.37,,1.1
27,1.3,1.38,1.4,1.36,1.36,1.363751,1.4
28,1.8,1.82,1.9,1.87,1.87,1.874678,1.9
29,1.5,1.54,1.6,1.64,1.64,1.619719,1.6
30,1.8,1.8,1.7,1.6,1.6,1.894658,1.9
31,1.7,1.61,1.7,1.71,1.71,1.711979,1.7
32,1.2,1.18,1.2,1.18,1.18,1.363702,1.4
33,1.3,1.3,1.3,1.28,1.28,1.586405,1.6
34,1.4,1.39,1.3,1.36,1.36,1.548112,1.6
35,1.3,1.44,1.4,1.41,1.4,,
36,1.7,1.68,1.6,1.58,1.58,1.744246,1.7
37,2.2,2.25,2.2,2.21,2.21,2.297963,2.3
38,1.4,1.33,1.3,1.31,1.31,1.546411,1.5
39,1.5,1.57,1.5,1.57,1.61,1.623887,1.6
40,1.3,1.33,1.3,1.33,1.33,1.679901,1.7
41,1.6,1.61,1.5,1.47,1.47,1.796591,1.8
42,1.3,1.33,1.4,1.35,1.35,1.324611,1.3
43,1.4,1.43,1.4,1.45,1.45,1.543643,1.5
44,1.4,1.41,1.4,1.41,1.41,1.379901,1.4
45,1.4,1.45,1.4,1.4,1.4,1.601097,1.7
46,1.5,1.5,1.5,1.42,1.42,1.558229,1.6
47,1.1,1.51,2.0,1.96,1.96,1.596959,1.5
48,1.3,1.32,1.3,1.26,1.26,1.340018,1.3
49,1.2,1.24,1.3,1.24,1.24,1.284721,1.3
50,1.7,1.75,1.8,1.77,1.77,1.769289,1.7
51,1.9,1.84,1.8,1.73,1.73,2.036593,2.1
52,1.2,1.22,1.2,1.22,1.22,1.454254,1.5
53,1.8,1.79,1.7,1.72,1.72,1.801544,1.8
54,1.6,1.62,1.6,1.54,1.56,1.895954,1.9
55,1.5,1.47,1.5,1.49,1.49,1.470211,1.5
56,1.4,1.45,1.5,1.45,1.45,1.449794,1.4
57,1.5,1.45,1.4,1.34,1.34,2.112099,2.1
58,1.4,1.33,1.4,1.36,1.36,1.512102,1.5
59,1.5,1.45,1.5,1.52,1.52,1.649778,1.6
60,1.4,1.41,1.3,1.28,1.28,1.461299,1.5
61,1.5,1.54,1.4,1.41,1.41,1.650756,1.7
62,,1.24,1.5,1.6,1.6,1.650503,1.6
64,,1.28,1.2,1.24,1.24,1.494495,1.5
65,1.6,1.59,1.3,1.31,1.31,1.661238,1.8
66,1.2,1.26,1.2,1.2,1.2,1.584281,1.6
67,1.3,1.32,1.4,1.3,1.3,1.309685,1.5
68,1.2,1.17,1.2,1.18,1.13,1.077221,1.1
69,1.5,1.49,1.6,1.53,1.53,1.574034,1.5
70,1.9,1.83,1.7,1.81,1.81,1.995594,2.0
71,1.6,1.61,1.5,1.57,1.57,1.536729,1.5
72,1.6,1.55,1.4,1.44,1.44,2.073414,2.1
73,1.3,1.28,1.2,1.19,1.19,,1.5
74,1.6,1.64,1.6,1.64,1.64,1.484807,1.5
75,1.3,1.33,1.3,1.3,1.31,1.40412,1.4
76,1.3,1.27,1.2,1.31,1.32,1.320446,1.3
77,1.4,1.41,1.4,1.37,1.37,1.426362,1.4
78,1.3,1.25,1.3,1.27,1.47,1.229742,1.2
79,1.2,1.23,1.2,1.18,1.18,1.182482,1.3
