id,y_2011,y_2013,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022
320,0.0,2.0,0.0,4.0,0.0,2.0,2.0,2.0,4.0,2.0
321,20.0,27.0,22.0,15.0,22.0,20.0,12.0,10.0,14.0,12.0
322,3.0,3.0,1.0,5.0,0.0,4.0,1.0,6.0,4.0,1.0
323,15.0,25.0,13.0,21.0,23.0,20.0,22.0,25.0,12.0,28.0
324,0.0,2.0,2.0,0.0,1.0,1.0,3.0,1.0,3.0,2.0
325,13.0,7.0,13.0,9.0,4.0,6.0,9.0,4.0,5.0,12.0
326,13.0,20.0,8.0,19.0,22.0,11.0,10.0,30.0,24.0,15.0
327,21.0,24.0,15.0,29.0,27.0,18.0,22.0,15.0,13.0,16.0
328,23.0,20.0,30.0,43.0,54.0,28.0,19.0,34.0,39.0,35.0
329,2.0,5.0,6.0,11.0,9.0,14.0,12.0,7.0,12.0,15.0
330,3.0,6.0,8.0,18.0,16.0,2.0,11.0,8.0,12.0,4.0
331,12.0,14.0,23.0,25.0,35.0,14.0,40.0,36.0,44.0,64.0
332,4.0,3.0,4.0,0.0,3.0,2.0,3.0,4.0,8.0,5.0
333,11.0,5.0,14.0,15.0,12.0,21.0,10.0,16.0,10.0,12.0
334,1.0,1.0,0.0,4.0,1.0,2.0,4.0,1.0,2.0,3.0
335,,1.0,1.0,1.0,2.0,,,,,
336,2.0,3.0,1.0,9.0,8.0,16.0,12.0,24.0,22.0,17.0
337,1.0,1.0,1.0,3.0,0.0,2.0,3.0,3.0,2.0,7.0
338,10.0,20.0,25.0,21.0,19.0,14.0,9.0,9.0,16.0,10.0
339,9.0,4.0,5.0,15.0,8.0,13.0,8.0,5.0,3.0,15.0
343,14.0,15.0,14.0,18.0,15.0,16.0,16.0,15.0,11.0,17.0
344,7.0,7.0,12.0,30.0,14.0,11.0,13.0,7.0,5.0,7.0
345,4.0,4.0,2.0,4.0,4.0,7.0,3.0,5.0,2.0,6.0
346,19.0,10.0,20.0,27.0,27.0,16.0,15.0,21.0,29.0,18.0
347,8.0,10.0,13.0,14.0,7.0,6.0,4.0,6.0,2.0,6.0
348,3.0,13.0,13.0,7.0,12.0,8.0,5.0,7.0,10.0,11.0
349,3.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
350,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0
351,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
352,2.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0
353,1.0,1.0,1.0,1.0,5.0,2.0,2.0,0.0,1.0,0.0
354,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0
355,2.0,2.0,3.0,2.0,3.0,1.0,7.0,2.0,3.0,6.0
356,3.0,3.0,3.0,5.0,3.0,1.0,2.0,2.0,4.0,0.0
357,4.0,3.0,2.0,2.0,0.0,3.0,3.0,1.0,1.0,4.0
358,7.0,6.0,7.0,9.0,9.0,9.0,11.0,12.0,13.0,20.0
359,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
360,1.0,8.0,11.0,16.0,9.0,10.0,9.0,12.0,7.0,11.0
361,38.0,43.0,34.0,35.0,29.0,17.0,15.0,16.0,22.0,25.0
362,8.0,34.0,29.0,23.0,15.0,20.0,13.0,24.0,35.0,31.0
363,54.0,56.0,59.0,72.0,62.0,52.0,53.0,84.0,64.0,63.0
364,1.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0
365,1.0,9.0,10.0,8.0,8.0,13.0,7.0,6.0,9.0,3.0
366,14.0,20.0,13.0,16.0,14.0,15.0,15.0,15.0,10.0,15.0
367,18.0,12.0,12.0,13.0,14.0,17.0,12.0,13.0,24.0,14.0
368,12.0,,,,,,,,,
369,28.0,20.0,25.0,25.0,20.0,25.0,25.0,20.0,23.0,15.0
370,50.0,64.0,64.0,50.0,63.0,53.0,58.0,40.0,67.0,51.0
371,88.0,114.0,86.0,159.0,157.0,135.0,108.0,107.0,111.0,126.0
372,4.0,8.0,5.0,4.0,7.0,7.0,7.0,7.0,8.0,10.0
373,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,2.0
374,53.0,51.0,59.0,75.0,75.0,81.0,64.0,65.0,78.0,73.0
375,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
376,6.0,8.0,6.0,4.0,9.0,8.0,9.0,15.0,14.0,12.0
377,3.0,6.0,6.0,7.0,6.0,12.0,7.0,4.0,6.0,5.0
378,8.0,18.0,3.0,19.0,16.0,7.0,12.0,13.0,6.0,7.0
379,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,4.0
380,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
381,12.0,9.0,10.0,12.0,14.0,11.0,14.0,9.0,15.0,16.0
382,30.0,29.0,27.0,49.0,47.0,21.0,23.0,24.0,21.0,16.0
383,21.0,30.0,20.0,42.0,37.0,30.0,49.0,40.0,47.0,47.0
385,46.0,59.0,84.0,103.0,79.0,115.0,85.0,83.0,95.0,74.0
386,8.0,27.0,16.0,14.0,21.0,16.0,16.0,10.0,15.0,18.0
