id,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021
134,0,0,0,0,0,0,28,0,0,0,0
135,0,0,0,0,0,0,0,0,0,0,0
136,16,8,14,16,18,9,0,1,18,28,13
137,3,5,1,0,6,1,0,0,1,4,1
138,0,0,0,0,0,0,2,4,0,22,2
139,0,0,0,0,0,0,5,0,7,2,3
140,0,86,0,2,0,1,0,106,1,74,2
141,1,0,0,0,1,0,0,1,1,1,2
142,1,0,1,0,0,6,10,1,0,9,22
143,2,1,0,2,3,6,2,5,22,2,1
144,0,3,4,16,16,5,0,1,2,0,24
145,0,0,0,0,0,1,0,1,0,0,0
146,3,15,0,0,35,0,0,0,0,0,1
147,16,8,3,12,28,11,0,1,0,0,0
148,12,5,0,1,2,22,21,9,4,6,0
149,5,24,52,1,0,0,0,2,6,4,3
150,0,0,0,0,1,0,0,1,58,0,83
151,20,12,144,2,7,16,0,0,0,0,0
152,2,0,1,0,1,2,6,14,7,9,5
153,0,0,0,1,0,3,0,0,0,204,103
154,0,0,0,0,0,0,1,0,4,1,2
155,11,10,13,21,369,15,1,4,2,7,278
156,26,27,52,1083,16,32,4,14,103,74,52
157,0,0,0,0,0,205,106,6,0,17,2
158,14,12,1,1,17,15,1,0,0,9,12
159,3,8,8,5,24,4,5,6,1,4,98
160,0,0,0,0,0,0,0,27,3,11,6
161,0,1,0,12,3,12,21,2,2,1,0
162,0,0,0,0,0,0,0,0,0,0,58
163,4,1,8,208,17,22,11,39,2,2,4
164,0,0,15,2,0,1,0,0,4,6,1
165,0,0,0,0,0,0,0,0,0,0,0
166,0,0,0,0,0,0,0,0,1,49,1
167,0,0,0,0,1,1,0,0,0,0,80
168,0,0,1,0,0,0,0,0,0,1,0
169,0,0,0,252,0,0,0,0,0,0,0
170,0,0,2,0,0,3,8,0,0,0,1
171,0,1,0,113,0,0,0,0,0,0,0
172,56,20,23,2,0,4,83,784,147,65,0
173,1,8,10,15,12,2,0,0,0,0,0
174,0,0,0,0,0,0,0,0,0,260,225
175,2,2,7,0,1,4,0,1,0,1,2
176,0,0,0,1,0,2,0,0,0,1,0
177,0,0,3,4,3,7,2,2,6,4,1
178,0,0,208,0,0,217,124,118,297,0,357
179,0,1,4,3,2,11,10,8,2,9,12
180,2,5,31,10,17,1,0,0,4,4,4
181,9,13,22,5,2,0,2,0,0,0,0
182,0,0,0,0,0,0,0,0,0,0,1
183,0,3,0,1,0,0,0,0,0,0,0
184,1,9,8,8,10,21,15,13,11,45,17
185,0,0,0,0,0,0,0,0,0,0,0
186,1,0,2,3,1,4,1,0,1,2,0
187,0,0,1,0,0,0,0,0,0,0,0
188,4,8,9,2,4,36,41,21,2,34,0
189,0,0,0,0,0,0,0,0,0,0,0
190,1,0,0,0,0,3,1,1,3,6,9
191,1,0,0,0,0,0,1,0,0,11,0
192,34,27,786,598,79,82,29,19,29,67,109
193,0,1,0,4,4,3,0,3,7,14,21
194,3,2,8,7,22,38,41,22,7,8,8
195,0,0,1,0,340,0,0,585,0,5,140
196,0,0,1,8,10,3,0,50,2,1,0
197,0,0,0,0,0,0,0,0,1,0,6
198,5,8,5,5,0,2,1,0,0,8,1
199,4,1,42,0,0,0,0,0,0,1,3
200,104,36,0,0,0,0,0,0,26,46,66
201,2,3,1,2,2,13,15,12,2,2,4
202,0,0,0,0,0,0,0,0,0,2,1
203,1,10,11,22,24,43,79,10,1,2,1
204,0,0,0,0,31,17,5,1,0,0,0
205,0,0,2,7,4,4,9,6,13,12,11
206,0,0,0,0,0,0,0,0,0,0,0
207,269,0,244,0,323,4,6,21,9,16,2
208,6,6,12,11,7,9,12,8,8,12,13
209,1,5,293,73,59,27,2,234,3,2,84
