id,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022,y_2023
296,7.4,7.4,7.4,7.41,7.41,7.41,7.41,7.41,7.41,7.41,7.41,7.416399999999999,7.416399999999999
297,1.0,1.0,1.0,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.0406,1.0406
298,2.5,2.5,2.5,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.52751,2.52751
299,4.8,4.8,4.8,4.79,4.79,4.79,4.79,4.79,4.79,4.79,4.79,4.82844,4.82844
300,4.7,4.7,4.7,4.69,4.69,4.69,4.69,4.69,4.69,4.69,4.69,4.69436,4.69436
301,5.3,5.3,5.3,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.316509999999999,5.316509999999999
302,3.7,3.7,3.7,3.72,3.72,3.72,3.72,3.72,3.72,3.72,3.72,3.72344,3.72344
303,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.99524,1.99524
304,0.7,0.7,0.7,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.664773,0.664773
305,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9959100000000003,2.9959100000000003
306,6.8,6.8,6.8,6.81,6.79,6.79,6.79,6.79,6.79,6.79,6.79,6.78731,6.78731
307,5.2,5.2,5.2,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.15675,5.15675
308,2.4,2.4,2.4,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.38115,2.38115
309,7.3,7.3,7.3,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.22476,7.22476
310,4.1,4.1,4.1,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.0623700000000005,4.0623700000000005
311,3.9,3.9,3.9,3.89,3.89,3.89,3.89,3.89,3.89,3.89,3.89,3.89327,3.89327
312,2.1,2.1,2.1,2.07,2.07,2.07,2.07,2.07,2.07,2.07,2.07,2.06567,2.06567
313,6.5,6.5,6.5,6.47,6.47,6.47,6.47,6.47,6.47,6.47,6.47,6.47442,6.47442
314,3.2,3.2,3.2,3.19,3.19,3.19,3.19,3.19,3.19,3.19,3.19,3.19183,3.19183
315,2.4,2.4,2.4,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.40519,2.40519
316,4.3,4.3,4.3,4.32,4.32,4.32,4.32,4.32,4.32,4.32,4.32,4.31583,4.31583
317,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.6950100000000001,1.6950100000000001
318,3.9,3.9,3.9,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.8462099999999997,3.8462099999999997
319,7.2,7.2,7.2,7.19,7.18,7.18,7.18,7.18,7.18,7.18,7.18,7.17727,7.17727
320,2.6,2.6,2.6,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.63897,2.63897
321,2.2,2.2,2.2,2.17,2.17,2.17,2.17,2.17,2.17,2.17,2.17,2.17196,2.17196
322,2.0,2.0,2.0,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99433,1.99433
323,5.6,5.6,5.6,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64788,5.64788
324,13.7,13.7,13.7,13.67,13.67,13.67,13.67,13.67,13.67,13.67,13.67,13.6722,13.6722
325,6.0,6.0,6.0,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.98668,5.98668
326,1.5,1.5,1.5,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.5197,1.5197
327,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.29929,2.29929
328,7.3,7.3,7.3,7.28,7.27,7.27,7.27,7.27,7.27,7.27,7.27,7.271190000000001,7.271190000000001
329,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.70486,4.70486
330,6.2,6.2,6.2,6.2,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.41249,6.41249
331,13.0,13.0,13.0,13.03,13.06,13.06,13.06,13.06,13.06,13.06,13.06,13.0162,13.0162
332,6.0,6.0,6.0,5.96,5.96,5.96,5.96,5.96,5.96,5.96,5.96,5.95862,5.95862
333,6.2,6.2,6.2,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.1925300000000005,6.1925300000000005
334,4.0,4.0,4.0,3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.95892,3.95892
335,8.6,8.6,8.6,8.59,8.59,8.59,8.59,8.59,8.59,8.59,8.59,8.57825,8.57825
336,15.1,15.1,15.1,15.12,15.12,15.12,15.12,15.12,15.12,15.12,15.12,15.0726,15.0726
337,7.2,7.2,7.2,7.15,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.09826,7.09826
338,1.5,1.5,1.5,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.5292400000000002,1.5292400000000002
339,2.5,2.5,2.5,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.53811,2.53811
343,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.5970999999999997,2.5970999999999997
344,2.6,2.6,2.6,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.6215100000000002,2.6215100000000002
345,6.7,6.7,6.7,6.68,6.55,6.55,6.55,6.55,6.55,6.55,6.55,6.554919999999999,6.554919999999999
346,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.296860000000001,7.296860000000001
347,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.39856,1.39856
348,15.9,15.9,15.9,15.91,15.91,15.91,15.91,15.91,15.91,15.91,15.91,15.916500000000001,15.916500000000001
349,3.0,3.0,3.0,2.97,2.97,2.97,2.97,2.97,2.97,2.97,2.97,2.97334,2.97334
350,3.1,3.1,3.1,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.1169,3.1169
351,2.0,2.0,2.0,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02252,2.02252
352,2.5,2.5,2.5,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.53553,2.53553
353,6.9,6.9,6.9,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.860499999999999,6.860499999999999
354,2.6,2.6,2.6,2.56,2.56,2.56,2.56,2.56,2.56,2.56,2.56,2.56072,2.56072
355,6.3,6.3,6.3,6.34,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37495,6.37495
356,9.8,9.8,9.8,9.77,9.76,9.76,9.76,9.76,9.76,9.76,9.76,9.71602,9.71602
357,3.5,3.5,3.5,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.4573,3.4573
358,8.2,8.2,8.2,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23358,8.23358
359,4.2,4.2,4.2,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.15514,4.15514
360,14.2,14.2,14.2,14.19,14.19,14.19,14.19,14.19,14.19,14.19,14.19,14.1471,14.1471
361,5.0,5.0,5.0,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.9556000000000004,4.9556000000000004
362,8.1,8.1,8.1,8.14,8.14,8.14,8.14,8.14,8.14,8.14,8.14,8.13785,8.13785
363,13.6,13.6,13.6,13.61,13.61,13.61,13.61,13.61,13.61,13.61,13.61,13.6054,13.6054
364,4.8,4.8,4.8,4.83,4.83,4.83,4.83,4.83,4.83,4.83,4.83,4.83451,4.83451
365,2.7,2.7,2.7,2.69,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.69643,2.69643
366,3.5,3.5,3.5,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.4720400000000002,3.4720400000000002
367,7.3,7.3,7.3,7.31,7.31,7.31,7.31,7.31,7.31,7.31,7.31,7.31333,7.31333
368,11.1,11.1,11.1,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.038800000000002,11.038800000000002
369,3.3,3.3,3.3,3.29,3.29,3.29,3.29,3.29,3.29,3.29,3.29,3.2898,3.2898
370,4.7,4.7,4.7,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72353,4.72353
371,14.0,14.0,14.0,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.950899999999999,13.950899999999999
372,19.7,19.7,19.7,19.67,19.56,19.56,19.56,19.56,19.56,19.56,19.56,19.5172,19.5172
373,8.6,8.6,8.6,8.55,8.55,8.55,8.55,8.55,8.55,8.55,8.55,8.5463,8.5463
374,4.2,4.2,4.2,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.166259999999999,4.166259999999999
375,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.90193,9.90193
376,11.5,11.5,11.5,11.51,11.51,11.51,11.51,11.51,11.51,11.51,11.51,11.519300000000001,11.519300000000001
377,10.8,10.8,10.8,10.81,10.81,10.81,10.81,10.81,10.81,10.81,10.81,10.8279,10.8279
378,9.1,9.1,9.1,9.14,9.14,9.14,9.14,9.14,9.14,9.14,9.14,9.14212,9.14212
379,10.7,10.7,10.7,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.7828,10.7828
380,18.8,18.8,18.8,18.81,18.82,18.82,18.82,18.82,18.82,18.82,18.82,18.8172,18.8172
381,4.9,4.9,4.9,4.93,4.92,4.92,4.92,4.92,4.92,4.92,4.92,4.9234,4.9234
382,4.3,4.3,4.3,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34423,4.34423
383,6.2,6.2,6.2,6.18,6.18,6.18,6.18,6.18,6.18,6.18,6.18,6.17677,6.17677
385,7.9,7.9,7.9,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.924740000000001,7.924740000000001
386,2.8,2.8,2.8,2.78,2.78,2.78,2.78,2.78,2.78,2.78,2.78,2.78164,2.78164
387,17.9,17.9,17.9,17.88,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.836,17.836
388,4.0,4.0,4.0,3.98,3.98,3.98,3.98,3.98,3.98,3.98,3.98,3.97517,3.97517
389,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,10.997300000000001,10.997300000000001
390,2.7,2.7,2.7,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.66681,2.66681
391,5.6,5.6,5.6,5.62,5.62,5.62,5.62,5.62,5.62,5.62,5.62,5.617970000000001,5.617970000000001
392,14.7,14.7,14.7,14.67,14.67,14.67,14.67,14.67,14.67,14.67,14.67,14.6678,14.6678
393,10.0,10.0,10.0,9.98,9.98,9.98,9.98,9.98,9.98,9.98,9.98,9.98146,9.98146
394,3.9,3.9,3.9,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.92563,3.92563
395,6.3,6.3,6.3,6.31,6.31,6.31,6.31,6.31,6.31,6.31,6.31,6.30604,6.30604
396,44.9,44.9,44.9,44.94,44.94,44.94,44.94,44.94,44.94,44.94,44.94,45.1833,45.1833
397,1.5,1.5,1.5,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.50513,1.50513
398,2.8,2.8,2.8,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79062,2.79062
399,6.5,6.5,6.5,6.51,6.53,6.53,6.53,6.53,6.53,6.53,6.53,6.52896,6.52896
400,6.6,6.6,6.6,6.63,6.63,6.63,6.63,6.63,6.63,6.63,6.63,6.6297500000000005,6.6297500000000005
401,9.0,9.0,9.0,9.01,9.01,9.01,9.01,9.01,9.01,9.01,9.01,9.013,9.013
402,9.8,9.8,9.8,9.83,9.83,9.83,9.83,9.83,9.83,9.83,9.83,9.88673,9.88673
