id,y_2013,y_2014,y_2015,y_2019,y_2020,y_2021,y_2022
2,1350.0,1075.0,875.0,888.0,888.0,528.0,520.2692308
3,2706.0,2415.0,2346.0,3172.0,2814.0,1386.0,1268.788462
4,55.0,63.0,56.0,36.0,42.0,24.0,14.80769231
5,68.0,60.0,64.0,60.0,48.0,45.0,34.69230769
6,1376.0,1309.0,1258.0,1520.0,1422.0,779.0,689.1153846
7,406.0,217.0,180.0,82.0,81.0,30.0,31.44230769
8,198.0,242.0,198.0,224.0,176.0,80.0,76.30769231
9,248.0,232.0,200.0,24.0,36.0,18.0,11.67307692
10,1470.0,1512.0,1512.0,1476.0,1152.0,720.0,684.9423077
11,845.0,836.0,737.0,890.0,720.0,400.0,422.1538462
12,861.0,812.0,665.0,490.0,448.0,245.0,212.0
13,399.0,323.0,247.0,323.0,306.0,170.0,167.8846154
14,568.0,588.0,528.0,388.0,268.0,88.0,91.38461538
15,,,,,,,
16,608.0,540.0,462.0,468.0,416.0,260.0,246.2884615
17,1518.0,1472.0,1426.0,936.0,810.0,432.0,423.2307692
18,1232.0,1155.0,957.0,693.0,517.0,165.0,216.7884615
19,96.0,112.0,112.0,120.0,84.0,24.0,28.19230769
20,,,,,,,
21,5921.0,6039.0,6045.0,12390.0,11592.0,4464.0,5426.461538
22,1215.0,1125.0,960.0,3060.0,3893.0,1717.0,2616.788462
23,,,,,,,
24,310.0,335.0,250.0,570.0,456.0,288.0,968.3461538
25,1.0,2.0,0.0,0.0,3.0,,
26,,,,,,,
27,150.0,176.0,94.0,112.0,92.0,10.0,17.26923077
28,99.0,104.0,80.0,63.0,56.0,28.0,29.40384615
29,0.0,,,0.0,0.0,,
30,1950.0,1825.0,1650.0,1400.0,1190.0,950.0,893.9423077
31,34.0,30.0,34.0,18.0,18.0,8.0,6.096153846
32,80.0,120.0,112.0,77.0,56.0,28.0,23.88461538
33,273.0,315.0,196.0,200.0,152.0,64.0,68.05769231
34,,,,,,,
35,75.0,33.0,32.0,212.0,181.0,127.0,115.4038462
36,44.0,44.0,45.0,50.0,50.0,40.0,34.11538462
37,752.0,752.0,608.0,518.0,546.0,280.0,213.9230769
38,9.0,22.0,30.0,40.0,56.0,32.0,36.21153846
39,,,,,,,
40,320.0,300.0,224.0,330.0,330.0,187.0,174.3461538
41,10.0,22.0,22.0,20.0,18.0,12.0,11.98076923
42,52.0,68.0,46.0,32.0,30.0,10.0,7.230769231
43,0.0,6.0,0.0,0.0,,,
44,31.0,25.0,19.0,13.0,19.0,3.0,3.153846154
45,,0.0,261.0,505.0,560.0,180.0,175.0769231
46,,,,,,,
47,495.0,530.0,420.0,250.0,255.0,75.0,84.42307692
48,335.0,295.0,135.0,200.0,152.0,16.0,28.19230769
49,,,,,,,
50,1820.0,1740.0,1587.0,1062.0,921.0,558.0,560.5192308
51,990.0,880.0,816.0,492.0,424.0,216.0,196.4423077
52,2190.0,1460.0,992.0,840.0,780.0,532.0,503.3076923
53,1196.0,1196.0,1128.0,888.0,720.0,648.0,444.6923077
54,374.0,363.0,341.0,264.0,242.0,121.0,117.3461538
55,40.0,36.0,20.0,10.0,4.0,2.0,1.903846154
56,1284.0,1288.0,1220.0,1196.0,1004.0,126.0,103.5769231
57,180.0,276.0,243.0,138.0,138.0,120.0,134.0769231
58,812.0,825.0,858.0,420.0,384.0,300.0,268.2115385
59,1141.0,2408.0,2611.0,3220.0,2779.0,392.0,430.1538462
60,1417.0,923.0,1105.0,324.0,240.0,168.0,178.1346154
61,176.0,6.0,0.0,,,,
62,6534.0,6107.0,4832.0,140.0,108.0,60.0,63.76923077
64,18.0,22.0,12.0,48.0,48.0,28.0,37.17307692
65,25.0,,,30.0,47.0,19.0,18.28846154
66,984.0,835.0,165.0,10670.0,7900.0,2185.0,3501.538462
67,,,,6.0,14.0,4.0,6.288461538
68,108.0,105.0,180.0,340.0,300.0,160.0,199.2692308
69,24.0,4.0,2.0,4.0,8.0,2.0,2.346153846
70,2540.0,2620.0,2570.0,2110.0,1770.0,1030.0,890.4038462
71,780.0,792.0,916.0,525.0,400.0,186.0,151.3076923
72,1848.0,1932.0,2442.0,1727.0,1280.0,224.0,220.25
73,,,,,,,
74,243.0,306.0,270.0,192.0,208.0,72.0,71.61538462
75,,,,,,,
76,250.0,256.0,234.0,688.0,602.0,110.0,131.6923077
77,102.0,111.0,42.0,,,,
78,340.0,330.0,270.0,374.0,319.0,187.0,225.1153846
79,395.0,350.0,325.0,230.0,190.0,130.0,106.25
80,,,,,,,
81,26.0,26.0,15.0,39.0,42.0,33.0,48.84615385
82,42.0,36.0,36.0,72.0,72.0,52.0,45.11538462
83,,,,,,,
84,,0.0,20.0,52.0,51.0,22.0,31.30769231
85,1575.0,1539.0,1504.0,1080.0,1032.0,576.0,546.6923077
86,686.0,623.0,518.0,469.0,399.0,231.0,234.4423077
87,1757.0,1743.0,1645.0,1236.0,1038.0,624.0,666.8076923
88,510.0,510.0,480.0,377.0,338.0,169.0,185.8269231
89,225.0,250.0,195.0,155.0,105.0,10.0,15.76923077
90,1703.0,1651.0,1404.0,1270.0,1010.0,640.0,665.25
91,0.0,0.0,0.0,0.0,0.0,0.0,0.057692308
92,602.0,665.0,714.0,620.0,576.0,332.0,389.2307692
93,576.0,588.0,490.0,693.0,686.0,392.0,398.0769231
94,510.0,560.0,512.0,360.0,320.0,144.0,163.8653846
95,144.0,144.0,42.0,61.0,56.0,26.0,36.69230769
96,1040.0,1020.0,1000.0,1102.0,756.0,434.0,479.1923077
97,200.0,198.0,134.0,144.0,142.0,84.0,95.90384615
98,1.0,19.0,20.0,24.0,24.0,8.0,7.692307692
99,455.0,324.0,210.0,224.0,168.0,91.0,98.07692308
100,1380.0,1380.0,1386.0,798.0,728.0,392.0,353.1730769
101,1128.0,984.0,540.0,24.0,21.0,12.0,7.807692308
102,24.0,30.0,21.0,96.0,84.0,75.0,73.75
103,260.0,1881.0,1458.0,3264.0,2932.0,1790.0,1918.653846
105,10.0,12.0,12.0,14.0,8.0,2.0,2.230769231
106,308.0,275.0,253.0,272.0,240.0,136.0,113.0576923
107,303.0,276.0,246.0,225.0,183.0,78.0,73.59615385
108,177.0,167.0,146.0,140.0,110.0,42.0,42.40384615
109,284.0,288.0,288.0,530.0,670.0,275.0,244.1538462
110,6.0,8.0,8.0,15.0,21.0,9.0,11.19230769
111,3.0,4.0,112.0,102.0,96.0,48.0,44.30769231
112,,,,,,,
113,,,,,,,
114,231.0,210.0,216.0,120.0,120.0,24.0,43.38461538
115,,,,,,,
116,39555.0,39360.0,38318.0,31992.0,24660.0,9116.0,10497.5
117,,,,15.0,15.0,15.0,11.17307692
118,0.0,2.0,6.0,2.0,2.0,0.0,0.903846154
119,204.0,215.0,240.0,185.0,245.0,274.0,177.3076923
120,1456.0,1422.0,1264.0,986.0,832.0,403.0,409.1923077
121,1207.0,1156.0,935.0,884.0,850.0,459.0,526.0769231
122,1974.0,2040.0,2694.0,1962.0,1998.0,432.0,439.8461538
123,3880.0,3744.0,3588.0,2475.0,2225.0,960.0,868.25
124,5625.0,5490.0,5040.0,4224.0,4026.0,2442.0,2405.596154
125,168.0,215.0,330.0,798.0,686.0,462.0,485.3269231
126,644.0,628.0,584.0,544.0,436.0,224.0,310.2115385
127,5577.0,6188.0,5603.0,4104.0,3528.0,1620.0,1578.192308
128,671.0,638.0,612.0,470.0,420.0,270.0,244.3846154
129,24.0,27.0,24.0,12.0,6.0,3.0,4.846153846
130,,,,,,,
131,,,,,,,
132,75.0,60.0,30.0,30.0,18.0,6.0,5.903846154
133,12.0,19.0,33.0,21.0,11.0,6.0,4.846153846
134,12.0,24.0,22.0,20.0,16.0,0.0,0.961538462
135,450.0,410.0,405.0,94.0,92.0,44.0,38.69230769
136,66.0,68.0,80.0,62.0,48.0,22.0,14.76923077
137,130.0,140.0,140.0,105.0,95.0,72.0,63.96153846
138,544.0,528.0,536.0,486.0,440.0,300.0,268.6730769
139,384.0,368.0,400.0,486.0,396.0,216.0,190.6538462
140,435.0,432.0,319.0,558.0,492.0,198.0,190.4038462
141,1008.0,980.0,924.0,918.0,783.0,400.0,337.8076923
142,570.0,612.0,527.0,464.0,368.0,144.0,104.7307692
143,54.0,48.0,54.0,50.0,36.0,12.0,13.09615385
144,,,2.0,27.0,18.0,4.0,11.51923077
145,20.0,24.0,12.0,16.0,12.0,0.0,2.653846154
146,145.0,145.0,125.0,105.0,100.0,20.0,21.59615385
147,6.0,18.0,10.0,15.0,20.0,0.0,2.423076923
148,28.0,24.0,12.0,24.0,28.0,,
149,,,,,,,
150,,,,,,,
151,,,,,,,
152,,,,2.0,2.0,1.0,5.865384615
153,,,,36.0,42.0,18.0,27.05769231
154,56.0,36.0,44.0,63.0,60.0,30.0,32.07692308
155,264.0,9.0,4.0,,,,
156,228.0,224.0,245.0,154.0,105.0,42.0,45.25
157,4410.0,3696.0,3612.0,3003.0,2580.0,1014.0,1436.519231
158,380.0,380.0,342.0,289.0,221.0,112.0,108.5
159,780.0,705.0,602.0,741.0,516.0,228.0,215.4615385
160,736.0,644.0,665.0,456.0,380.0,190.0,176.6730769
161,441.0,435.0,381.0,387.0,291.0,126.0,103.6538462
162,338.0,741.0,702.0,420.0,396.0,216.0,182.4230769
163,496.0,560.0,630.0,800.0,846.0,405.0,434.0384615
164,2646.0,2622.0,2394.0,2394.0,2166.0,1349.0,1343.057692
165,732.0,666.0,694.0,674.0,572.0,306.0,311.2307692
166,564.0,270.0,294.0,192.0,168.0,102.0,84.92307692
167,476.0,168.0,133.0,126.0,112.0,56.0,55.80769231
168,63.0,88.0,72.0,72.0,64.0,44.0,42.63461538
169,,,,,,,
170,,,,,,,
171,192.0,228.0,108.0,164.0,148.0,20.0,44.40384615
172,175.0,189.0,105.0,34.0,,,
173,84.0,66.0,60.0,90.0,84.0,48.0,48.17307692
174,4.0,4.0,4.0,7.0,14.0,14.0,15.19230769
175,,,,,,,
176,,,,,,,
177,0.0,0.0,0.0,0.0,,,
178,480.0,456.0,416.0,352.0,384.0,224.0,326.3076923
179,96.0,80.0,48.0,56.0,49.0,14.0,17.17307692
180,245.0,270.0,236.0,188.0,144.0,56.0,62.23076923
181,21.0,36.0,27.0,27.0,20.0,0.0,4.596153846
182,648.0,666.0,648.0,430.0,180.0,85.0,171.1153846
183,150.0,90.0,102.0,90.0,78.0,42.0,55.90384615
184,,,,,,,
185,258.0,264.0,222.0,138.0,138.0,48.0,45.11538462
186,420.0,465.0,415.0,305.0,260.0,145.0,152.9807692
187,,,,,,,
188,,,,,,,
189,,,,,,,
190,323.0,306.0,306.0,272.0,224.0,112.0,96.28846154
191,,,,,,,
192,136.0,120.0,81.0,104.0,80.0,40.0,49.19230769
193,132.0,132.0,99.0,110.0,88.0,55.0,57.38461538
194,0.0,16.0,24.0,12.0,8.0,4.0,4.173076923
195,,,,,3.0,12.0,18.55769231
196,212.0,216.0,112.0,144.0,144.0,88.0,70.15384615
197,20.0,105.0,100.0,95.0,90.0,55.0,49.69230769
198,150.0,165.0,150.0,180.0,132.0,78.0,66.25
199,1449.0,1584.0,1575.0,1494.0,1197.0,792.0,723.9230769
200,357.0,371.0,385.0,553.0,525.0,203.0,167.3846154
201,0.0,12.0,24.0,20.0,20.0,10.0,8.461538462
202,968.0,679.0,553.0,266.0,210.0,14.0,9.673076923
203,,,,,,,
