id,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019
2,0.38,0.41,0.4,0.59,2.08,2.04
3,1.1,1.14,1.34,1.15,1.66,1.62
4,0.23,0.22,0.26,0.29,0.79,0.82
5,0.24,0.36,0.45,0.35,0.2,0.27
6,0.68,0.62,0.79,0.73,0.96,0.95
7,0.2,0.18,0.11,,,0.11
8,0.22,0.29,0.27,0.16,0.14,0.23
9,0.05,0.05,0.1,,0.18,0.14
10,0.96,0.91,0.99,1.02,0.87,0.85
11,0.7,0.92,0.93,0.99,0.88,0.86
12,0.89,0.93,1.1,1.28,1.3,1.43
13,0.66,0.73,0.8,0.85,1.09,1.11
14,0.97,1.07,0.95,0.93,0.85,0.97
15,0.36,0.37,0.39,0.44,0.33,0.29
16,1.49,1.57,2.04,1.99,3.14,3.28
17,1.06,1.27,1.34,1.4,1.4,1.45
18,0.77,0.75,0.85,0.77,0.88,0.87
19,0.75,0.73,0.66,0.72,0.61,0.63
20,0.72,0.7,0.89,0.81,0.82,0.93
21,1.09,1.16,1.38,1.32,0.92,0.94
22,0.13,0.09,0.08,,0.12,0.14
23,0.49,0.52,0.66,0.57,0.53,0.47
24,0.25,0.37,0.36,0.31,0.19,0.16
25,1.16,1.08,1.11,1.16,1.33,1.53
26,0.73,0.71,0.78,0.83,1.0,0.75
27,1.18,1.1,1.33,1.22,1.16,0.96
28,0.32,0.32,0.29,0.28,0.15,0.14
29,0.19,0.25,0.23,0.32,0.3,0.33
30,0.72,0.66,0.8,0.83,0.79,0.87
31,0.53,0.46,0.56,0.64,0.63,0.74
32,0.05,0.06,,,,
33,0.16,0.28,0.27,0.19,0.2,0.3
34,0.57,0.74,0.88,1.19,1.47,1.6
35,0.41,0.43,0.53,0.61,0.64,0.49
36,0.44,0.47,0.56,0.52,0.39,0.42
37,0.44,0.48,0.55,0.5,0.53,0.57
38,0.54,0.49,0.48,0.52,0.72,0.83
39,1.04,1.06,1.18,1.31,1.23,1.27
40,0.99,1.08,1.13,1.2,1.01,1.1
41,0.34,0.54,0.5,0.49,0.21,0.18
42,0.64,0.63,0.74,0.84,0.94,1.02
43,0.5,0.52,0.56,0.47,0.51,0.49
44,0.17,0.12,0.15,0.2,0.2,0.16
45,1.15,0.89,1.12,1.56,1.71,1.98
46,0.69,0.67,0.58,0.59,0.8,0.7
47,0.09,0.11,0.14,,0.12,0.14
48,0.91,0.96,0.87,0.79,0.9,0.97
49,0.69,0.7,0.76,0.9,1.1,1.13
50,1.39,1.37,1.74,1.85,2.11,2.06
51,0.06,0.07,0.08,0.11,0.11,0.11
52,1.05,0.63,0.67,0.85,0.57,0.48
53,1.25,1.37,1.58,1.63,2.76,2.89
54,0.64,0.83,1.01,0.99,1.04,1.04
55,0.35,0.33,0.45,0.45,0.43,0.39
56,0.2,0.18,0.22,0.22,0.23,0.31
57,0.46,0.54,0.67,0.78,0.92,1.0
58,0.57,0.73,0.66,0.64,0.69,0.57
59,0.78,1.02,0.91,1.06,1.22,1.11
60,0.46,0.4,0.46,0.61,0.64,0.71
61,0.3,0.3,0.28,0.27,0.35,0.33
62,,,,,,
64,0.53,0.54,0.69,0.68,0.59,0.64
65,0.14,0.23,0.27,0.24,0.27,0.27
66,0.17,0.14,0.25,0.18,0.26,0.31
67,0.06,,0.06,0.14,0.19,0.16
68,0.85,0.85,0.93,1.17,0.99,0.88
69,0.4,0.38,0.37,0.3,0.17,0.21
70,0.34,0.29,0.35,0.51,0.71,0.55
71,1.67,1.8,2.12,2.03,1.69,1.78
72,0.31,0.29,0.29,0.53,0.59,0.66
73,1.08,1.15,1.3,1.19,1.51,1.55
74,0.14,0.11,0.1,0.16,,
75,0.67,0.61,0.7,0.75,0.81,0.83
76,0.93,0.98,1.07,1.07,1.13,1.23
77,2.02,1.97,2.18,2.61,2.51,2.48
78,0.65,0.64,0.82,0.93,0.83,0.76
79,0.87,0.81,1.28,1.23,1.09,0.99
80,0.39,0.37,0.44,0.41,0.5,0.45
81,0.38,0.39,0.39,0.33,0.34,0.29
82,0.84,0.76,0.81,0.85,1.09,0.95
83,0.9,0.94,1.24,1.29,1.2,1.14
84,0.13,0.12,0.12,0.14,0.16,0.14
85,0.78,0.76,0.8,0.83,0.93,0.8
86,0.76,0.82,1.1,1.1,1.12,0.85
87,0.56,0.53,0.26,0.25,0.21,0.22
88,0.39,0.53,0.63,0.7,0.81,0.77
89,0.41,0.56,0.61,0.58,0.72,0.6
90,0.39,0.57,0.66,0.64,0.26,0.25
91,0.88,0.92,1.07,0.87,1.03,0.93
92,0.21,0.18,0.29,0.34,0.38,0.38
93,0.36,0.4,0.36,0.52,0.6,0.58
94,0.51,0.4,0.42,0.43,0.4,0.5
95,0.53,0.46,0.54,0.39,0.39,0.38
96,1.0,1.02,1.22,1.22,1.28,1.38
97,1.35,1.21,1.24,1.38,1.37,1.18
98,1.11,1.04,1.25,1.39,1.62,1.63
99,0.27,0.31,0.5,0.47,0.49,0.56
100,0.65,0.71,0.71,0.82,0.71,0.63
101,1.22,1.13,1.32,1.19,1.22,1.16
