"id","y_2011","y_2013","y_2015","y_2016","y_2017","y_2018","y_2019","y_2020","y_2021","y_2022"
437,5,3,8,3,0,2,1,0,0,0
438,3,2,1,1,0,0,0,0,1,0
442,15,11,15,6,0,0,0,0,0,0
443,7,4,1,1,1,1,0,0,1,0
444,11,6,7,5,1,1,0,0,0,0
445,4,8,6,2,0,1,0,0,0,0
446,11,5,10,0,0,0,0,0,0,1
447,8,7,9,1,0,2,2,0,0,0
448,5,3,1,0,0,0,0,0,0,0
449,4,5,3,2,0,0,0,0,0,0
450,9,7,5,0,0,3,2,0,0,0
451,5,4,3,2,0,0,0,0,0,0
452,1,3,5,0,0,0,2,0,0,0
453,6,8,3,2,0,0,1,0,0,0
454,7,4,3,2,0,0,1,0,1,0
455,6,4,1,1,1,1,0,0,0,0
456,0,2,0,0,0,0,0,0,0,0
457,1,0,1,1,0,0,0,0,0,0
458,2,3,3,1,0,1,0,0,0,1
459,15,11,10,6,0,0,1,0,0,0
460,8,6,7,2,1,1,2,0,0,0
462,5,3,4,0,0,0,0,1,0,0
463,4,3,6,0,0,0,0,0,0,0
464,8,4,6,2,0,1,0,0,0,0
465,2,1,1,1,0,0,0,0,0,
466,7,18,16,3,0,1,1,0,0,0
467,2,3,5,0,0,0,0,0,0,1
468,0,0,0,0,0,0,0,0,0,0
469,3,5,2,2,0,0,0,0,0,0
470,1,5,2,0,0,3,0,2,0,0
471,5,3,3,1,0,0,1,0,0,0
472,9,1,3,2,0,1,0,0,0,0
473,1,8,1,3,0,0,0,0,0,0
474,8,6,3,1,0,1,0,0,1,1
475,1,1,0,0,0,0,0,0,0,0
476,51,31,16,6,0,1,1,6,0,0
