id,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022,y_2023
236,14.0,20.0,11.0,11.0,22.0,19.0,15.0,24.0,16.0,20.0,32.0,31.0,25.0
237,5.0,3.0,4.0,4.0,12.0,6.0,8.0,7.0,6.0,17.0,14.0,27.0,17.0
238,7.0,4.0,4.0,4.0,6.0,9.0,10.0,4.0,10.0,12.0,23.0,17.0,17.0
240,11.0,6.0,14.0,9.0,7.0,14.0,12.0,19.0,29.0,19.0,21.0,31.0,14.0
241,23.0,22.0,23.0,29.0,34.0,29.0,31.0,41.0,39.0,32.0,54.0,53.0,42.0
242,2.0,8.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,11.0
243,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,3.0,11.0,34.0,74.0,20.0
244,2.0,2.0,3.0,4.0,5.0,5.0,6.0,5.0,10.0,6.0,14.0,9.0,28.0
245,1.0,2.0,3.0,1.0,4.0,3.0,2.0,1.0,2.0,3.0,9.0,5.0,3.0
246,1.0,2.0,4.0,4.0,3.0,6.0,2.0,2.0,2.0,2.0,6.0,5.0,4.0
247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
248,0.0,0.0,0.0,1.0,6.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0
249,1.0,0.0,1.0,1.0,3.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0
250,1.0,0.0,3.0,2.0,1.0,3.0,1.0,3.0,2.0,1.0,3.0,5.0,5.0
251,9.0,2.0,2.0,3.0,6.0,4.0,3.0,3.0,4.0,7.0,12.0,6.0,23.0
252,1.0,2.0,1.0,1.0,2.0,7.0,4.0,4.0,5.0,5.0,10.0,5.0,5.0
253,27.0,8.0,15.0,15.0,7.0,13.0,8.0,20.0,11.0,19.0,21.0,17.0,11.0
254,1.0,0.0,1.0,1.0,0.0,2.0,0.0,5.0,1.0,2.0,0.0,1.0,0.0
255,21.0,13.0,23.0,9.0,14.0,20.0,10.0,9.0,24.0,26.0,41.0,20.0,12.0
256,22.0,16.0,35.0,25.0,44.0,35.0,71.0,47.0,73.0,54.0,97.0,123.0,99.0
257,27.0,9.0,3.0,10.0,17.0,1.0,5.0,17.0,13.0,7.0,17.0,17.0,4.0
258,8.0,11.0,8.0,13.0,13.0,6.0,11.0,8.0,12.0,11.0,12.0,24.0,21.0
259,1.0,0.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,4.0,46.0,2.0
260,10.0,6.0,6.0,12.0,8.0,7.0,9.0,7.0,8.0,19.0,14.0,16.0,17.0
261,19.0,3.0,8.0,12.0,18.0,16.0,15.0,18.0,16.0,20.0,22.0,25.0,16.0
262,32.0,39.0,28.0,37.0,30.0,37.0,34.0,33.0,33.0,39.0,51.0,44.0,37.0
263,18.0,25.0,15.0,18.0,37.0,38.0,23.0,35.0,33.0,34.0,48.0,42.0,30.0
264,4.0,2.0,7.0,3.0,8.0,7.0,3.0,4.0,11.0,3.0,4.0,13.0,10.0
265,4.0,2.0,2.0,2.0,2.0,4.0,5.0,6.0,8.0,11.0,10.0,13.0,17.0
266,4.0,3.0,3.0,7.0,9.0,10.0,5.0,17.0,5.0,6.0,13.0,12.0,13.0
267,32.0,10.0,9.0,8.0,31.0,21.0,7.0,8.0,25.0,14.0,20.0,26.0,33.0
268,7.0,2.0,1.0,2.0,3.0,3.0,3.0,10.0,8.0,7.0,9.0,12.0,12.0
269,14.0,11.0,15.0,18.0,15.0,15.0,28.0,20.0,15.0,12.0,56.0,47.0,16.0
270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
271,7.0,2.0,3.0,3.0,5.0,5.0,5.0,4.0,6.0,9.0,9.0,12.0,9.0
272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
273,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,9.0,3.0,8.0,6.0,4.0
274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
275,7.0,9.0,8.0,4.0,6.0,4.0,7.0,4.0,3.0,11.0,7.0,5.0,12.0
276,5.0,11.0,8.0,9.0,7.0,4.0,7.0,3.0,5.0,2.0,5.0,13.0,4.0
277,6.0,3.0,3.0,2.0,4.0,5.0,21.0,4.0,19.0,21.0,20.0,22.0,50.0
278,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0
279,0.0,96.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
280,2.0,2.0,1.0,3.0,2.0,6.0,1.0,1.0,3.0,4.0,8.0,10.0,2.0
281,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,3.0,0.0,3.0
282,0.0,2.0,3.0,3.0,2.0,3.0,1.0,1.0,2.0,7.0,6.0,3.0,7.0
283,4.0,1.0,5.0,2.0,1.0,10.0,9.0,5.0,8.0,5.0,4.0,10.0,14.0
284,5.0,4.0,14.0,14.0,9.0,15.0,13.0,28.0,12.0,31.0,29.0,33.0,22.0
285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
286,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0
287,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,0.0,3.0,1.0,0.0,2.0
288,13.0,8.0,15.0,14.0,12.0,19.0,12.0,18.0,17.0,13.0,25.0,22.0,17.0
289,6.0,13.0,1.0,4.0,3.0,6.0,5.0,5.0,24.0,33.0,28.0,68.0,97.0
290,1.0,1.0,2.0,3.0,5.0,2.0,1.0,3.0,3.0,3.0,7.0,3.0,7.0
291,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,3.0,1.0
292,1.0,2.0,2.0,4.0,1.0,4.0,2.0,2.0,0.0,2.0,3.0,8.0,5.0
293,9.0,10.0,4.0,7.0,6.0,6.0,6.0,5.0,10.0,8.0,26.0,11.0,16.0
294,0.0,0.0,0.0,4.0,5.0,2.0,0.0,1.0,2.0,3.0,5.0,5.0,9.0
295,1.0,0.0,0.0,2.0,4.0,4.0,1.0,3.0,3.0,4.0,7.0,10.0,10.0
296,10.0,4.0,2.0,2.0,4.0,10.0,6.0,8.0,9.0,12.0,12.0,19.0,17.0
297,12.0,5.0,6.0,9.0,7.0,10.0,4.0,4.0,5.0,9.0,15.0,11.0,7.0
298,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
299,3.0,1.0,5.0,0.0,3.0,4.0,7.0,342.0,12.0,12.0,12.0,10.0,8.0
300,0.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,0.0
301,6.0,2.0,4.0,8.0,5.0,2.0,6.0,6.0,8.0,9.0,9.0,13.0,9.0
302,25.0,16.0,11.0,12.0,21.0,25.0,23.0,22.0,26.0,19.0,26.0,28.0,26.0
303,7.0,4.0,3.0,7.0,4.0,3.0,14.0,5.0,3.0,7.0,6.0,6.0,5.0
304,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
305,1.0,2.0,4.0,2.0,3.0,1.0,1.0,2.0,3.0,11.0,14.0,14.0,7.0
306,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0
