"id","y_2013","y_2014","y_2015","y_2016","y_2017","y_2018","y_2019","y_2020","y_2021"
97,0.31,0.35,0.32,0.29,0.29,0.3,0.23,0.37,0.34
98,0.25,0.36,0.33,0.39,0.36,0.35,0.38,0.46,0.36
99,0.14,0.12,0.21,0.22,0.14,0.22,0.14,0.17,0.15
100,0.24,0.22,0.14,0.12,0.27,0.19,0.15,0.23,0.14
101,0.23,0.14,0.17,0.2,0.12,0.14,0.15,0.18,0.22
102,0.12,0.22,0.21,0.14,0.15,,,0.22,0.16
103,0.28,0.19,0.13,0.22,0.25,0.11,0.16,0.19,0.28
105,,,0.08,0.1,,0.11,,0.06,0.06
106,0.14,0.15,0.12,0.08,,,,0.18,0.23
107,0.25,0.26,0.2,0.3,0.29,0.23,0.29,0.16,0.14
108,0.29,0.17,0.16,0.18,0.18,0.14,0.12,0.19,0.19
109,0.12,0.16,0.33,0.31,0.18,0.2,,0.28,0.16
110,0.12,0.23,0.14,0.16,0.15,0.15,0.16,0.12,0.23
111,0.31,0.24,0.3,0.3,0.36,0.4,0.44,0.55,0.57
112,0.09,0.16,0.1,0.18,,,0.18,0.14,0.09
113,0.4,0.54,0.54,0.5,0.58,0.44,0.51,0.48,0.51
114,0.15,0.09,0.11,0.06,0.12,0.13,,0.08,0.23
115,0.43,0.53,0.7,0.79,0.87,0.92,1.07,0.86,1.1
116,0.36,0.36,0.42,0.35,0.27,0.22,0.36,0.44,0.21
117,0.49,0.41,0.51,0.62,0.68,0.61,0.57,0.84,0.68
118,0.16,0.18,0.14,0.14,0.16,0.13,0.13,0.2,0.17
119,0.15,0.14,0.2,0.13,0.2,,0.11,0.2,0.18
120,0.21,0.14,0.2,0.21,0.23,0.13,0.14,0.16,0.23
121,0.28,0.14,0.21,0.28,0.23,0.28,0.16,0.21,0.46
122,,,,,,,,,
123,0.27,0.23,0.33,0.32,0.2,0.18,0.14,0.29,0.17
124,0.21,0.25,0.21,0.15,0.2,0.15,0.12,0.17,0.21
125,0.27,0.34,0.55,0.41,0.37,0.24,0.36,0.45,0.24
126,,0.05,,0.06,,,,0.12,0.13
127,0.23,0.14,0.11,0.14,0.14,0.12,,0.24,0.34
128,0.33,0.22,0.33,0.35,0.28,0.15,0.21,0.39,0.28
129,0.09,0.15,0.14,0.09,0.11,0.17,0.12,0.17,0.2
130,0.1,0.05,0.11,0.07,,,0.12,0.1,0.1
131,0.2,0.32,0.21,0.24,0.31,0.27,0.24,0.27,0.36
132,,,,,,,,,
133,0.06,0.08,0.08,,,,,0.05,0.08
134,0.13,0.08,0.17,0.15,0.15,0.13,0.15,0.18,0.13
135,0.1,0.05,0.06,0.1,0.12,0.2,0.17,0.11,0.08
136,0.14,0.14,0.08,0.12,0.14,0.14,0.12,0.17,0.12
137,0.26,0.25,0.21,0.29,0.26,0.17,0.21,0.3,0.4
138,0.14,0.06,0.13,0.07,0.17,0.16,,,0.05
139,0.23,0.17,0.19,0.18,0.13,,0.13,0.24,0.15
140,0.33,0.35,0.38,0.35,0.42,0.2,0.26,0.39,0.36
141,0.05,0.12,0.07,0.11,0.13,,,0.09,0.11
142,0.24,0.22,0.31,0.36,0.26,0.19,0.31,0.36,0.34
143,0.05,0.08,0.1,0.09,0.12,,0.15,0.08,0.15
144,0.32,0.28,0.31,0.34,0.38,0.26,0.28,0.27,0.38
145,0.29,0.34,0.21,0.31,0.31,0.24,0.16,0.34,0.34
146,0.21,0.24,0.42,0.43,0.4,0.19,0.23,0.32,0.29
147,0.16,0.2,0.23,0.29,0.24,0.28,0.24,0.32,0.33
148,0.27,0.23,0.33,0.15,0.27,0.32,0.26,0.16,0.22
149,0.18,0.05,0.1,0.14,,0.14,,0.1,0.1
150,0.16,0.27,0.25,0.26,0.24,0.15,0.19,0.36,0.32
151,0.59,0.47,0.59,0.66,0.63,0.8,0.9,0.94,0.79
152,0.07,0.09,0.13,0.11,,0.11,0.11,0.14,0.13
153,0.57,0.34,0.59,0.64,0.48,0.7,0.5,0.69,0.72
154,0.39,0.2,0.33,0.42,0.34,0.37,0.37,0.47,0.36
155,0.3,0.3,0.16,0.24,0.3,0.21,0.21,0.34,0.39
156,0.39,0.42,0.38,0.56,0.48,0.39,0.32,0.48,0.56
157,0.2,0.19,0.11,0.08,,,,0.05,0.13
158,0.72,0.5,0.4,0.49,0.49,0.37,0.44,0.47,0.4
159,0.09,0.11,0.18,0.1,0.1,,,0.13,0.11
160,0.34,0.42,0.31,0.44,0.43,0.27,0.24,0.29,0.34
161,0.31,0.26,0.11,0.16,0.18,0.14,0.13,0.26,0.24
162,0.18,0.28,0.19,0.2,0.17,0.21,0.16,0.35,0.2
163,0.08,0.07,0.08,0.06,,,,0.06,0.12
164,0.27,0.47,0.35,0.52,0.34,0.19,0.21,0.35,0.52
165,0.28,0.23,0.26,0.19,0.37,0.29,0.22,0.27,0.28
166,0.13,0.15,0.09,0.1,,,,0.13,0.11
167,0.07,,0.13,0.05,,,,,
168,0.15,0.2,0.17,0.09,0.13,0.2,0.2,0.16,0.16
169,0.19,0.2,0.31,0.3,0.3,0.33,0.41,0.42,0.52
170,0.24,0.23,0.32,0.39,0.26,0.42,0.35,0.36,0.39
171,,0.09,,0.11,,,,0.08,0.07
172,0.32,0.22,0.34,0.44,0.39,0.35,0.48,0.48,0.68
173,0.12,0.24,0.19,0.19,0.14,0.22,0.26,0.15,0.25
174,0.2,0.19,0.17,0.22,0.3,0.23,0.22,0.23,0.19
175,0.28,0.24,0.17,0.17,0.14,,0.15,0.09,0.19
176,0.37,0.26,0.43,0.38,0.27,0.47,0.37,0.5,0.49
177,0.11,0.09,0.09,0.08,,0.13,0.12,0.15,0.12
178,,,0.07,0.08,,,,,0.05
179,0.15,0.12,0.14,0.17,0.12,0.17,0.12,0.11,0.15
180,0.13,0.18,0.23,0.14,0.2,0.16,0.17,0.25,0.21
181,0.2,0.17,0.13,0.15,0.19,0.19,0.16,0.19,0.19
182,0.1,0.08,0.14,0.1,,,,0.09,0.06
183,0.05,,0.05,0.05,0.1,0.11,,0.07,0.07
184,,,,,,,,,0.11
185,0.25,0.31,0.23,0.3,0.32,0.18,0.18,0.21,0.22
186,0.38,0.28,0.33,0.33,0.31,0.32,0.3,0.49,0.33
187,0.08,0.12,0.13,0.14,0.12,0.14,0.13,0.19,0.15
188,0.2,0.25,0.16,0.13,0.24,0.26,0.19,0.29,0.25
189,0.11,0.1,0.1,0.12,,,0.13,0.11,0.13
190,0.15,0.1,0.1,0.12,0.17,0.18,0.19,0.05,0.09
191,0.39,0.26,0.36,0.28,0.32,0.23,0.31,0.33,0.33
192,0.11,0.18,0.2,0.19,0.26,0.35,0.29,0.34,0.33
193,0.12,0.17,0.05,0.16,0.14,,,0.13,0.24
194,0.3,0.52,0.49,0.42,0.38,0.54,0.42,0.44,0.53
195,0.22,0.25,0.24,0.36,0.36,0.32,0.37,0.42,0.49
196,0.36,0.35,0.29,0.35,0.32,0.2,0.33,0.28,0.27
197,0.29,0.24,0.15,0.2,0.27,,0.18,0.29,0.3
198,0.06,0.1,0.14,0.15,0.13,,0.11,0.12,0.15
199,0.32,0.31,0.46,0.29,0.27,0.3,0.23,0.39,0.35
200,0.05,0.05,0.05,0.07,,0.12,,0.12,0.16
201,0.21,0.22,0.12,0.19,0.17,0.18,0.19,0.22,0.28
202,0.32,0.29,0.23,0.33,0.39,0.24,0.28,0.38,0.38
203,0.13,0.17,0.16,0.22,0.28,0.2,0.27,0.23,0.27
204,0.09,0.15,0.17,0.19,0.11,0.19,0.26,0.21,0.32
205,0.16,0.05,0.11,0.06,,,,0.14,0.14
206,0.14,0.12,0.18,0.13,0.17,0.16,0.15,0.15,0.15
207,0.07,,0.1,0.09,0.13,0.12,0.14,0.15,0.15
208,0.12,0.21,0.24,0.21,0.18,0.19,0.14,0.14,0.24
209,0.44,0.51,0.43,0.63,0.41,0.45,0.56,0.52,0.61
210,0.1,,0.06,0.08,,,,0.11,0.16
211,0.39,0.25,0.31,0.39,0.45,0.31,0.38,0.44,0.41
212,0.12,0.09,0.11,0.1,0.14,,,0.11,0.17
213,0.06,0.14,0.12,0.13,0.15,,,0.12,0.16
215,0.11,0.09,0.07,0.09,,,,0.07,0.07
216,,0.08,,,,,,,
217,0.07,0.09,0.07,0.07,,,0.13,0.07,0.07
218,0.25,0.26,0.22,0.23,0.17,0.33,0.16,0.26,0.24
219,0.11,0.1,0.07,0.15,,,,0.12,0.1
220,0.26,0.23,0.17,0.2,0.24,0.16,0.31,0.24,0.21
221,0.29,0.2,0.14,0.13,0.19,0.23,0.18,0.18,0.29
222,0.08,0.05,,0.05,,,,0.05,
223,0.31,0.3,0.26,0.17,0.23,0.14,0.3,0.25,0.21
224,0.19,0.21,0.19,0.17,0.19,0.14,0.2,0.23,0.16
225,0.07,0.08,0.08,0.19,,0.2,0.17,0.13,0.12
226,0.11,,0.05,,,,,,0.05
227,0.25,0.32,0.38,0.31,0.38,0.35,0.29,0.36,0.33
228,0.13,,0.16,0.15,,,,0.1,0.08
229,0.28,0.25,0.23,0.35,0.37,0.41,0.39,0.63,0.54
230,0.08,0.06,,0.17,,,,0.05,0.14
231,0.24,0.22,0.26,0.28,0.37,0.28,0.34,0.31,0.36
232,0.25,0.28,0.25,0.3,0.35,0.31,0.31,0.4,0.43
233,0.1,0.2,0.12,0.2,0.12,0.23,0.16,0.2,0.15
234,0.46,0.43,0.54,0.53,0.44,0.3,0.43,0.58,0.5
235,0.22,0.12,0.13,0.19,,0.13,0.17,0.15,0.21
236,0.05,0.06,0.05,0.05,,,,0.06,
237,0.4,0.39,0.43,0.35,0.48,0.41,0.36,0.51,0.45
238,0.37,0.3,0.42,0.33,0.25,0.25,0.23,0.49,0.31
240,0.14,,0.07,0.07,,,,0.06,
241,0.12,0.05,0.12,0.11,0.12,0.11,0.13,0.19,0.2
242,0.23,0.29,0.3,0.21,0.27,0.22,0.2,0.25,0.24
243,,,,,,,,,0.13
244,0.25,0.37,0.27,0.21,0.23,0.17,0.13,0.27,0.31
245,0.15,0.1,0.08,0.13,,,0.13,0.16,0.07
246,0.21,0.27,0.2,0.17,0.25,,0.19,0.24,0.17
247,0.09,0.07,,0.11,0.12,,,0.14,0.12
248,0.12,0.14,0.1,0.14,,0.11,0.2,0.14,0.14
249,0.16,0.2,0.11,0.12,0.11,0.22,0.11,0.15,0.28
250,0.21,0.23,0.2,0.14,0.15,,0.19,0.14,0.08
251,0.19,0.28,0.36,0.25,0.25,0.33,0.28,0.32,0.4
252,0.08,0.13,0.08,0.06,,,,0.08,0.08
253,0.22,0.16,0.16,0.29,0.29,0.29,0.33,0.21,0.31
254,,,,,,,,,0.07
255,0.31,0.32,0.32,0.37,0.3,0.49,0.39,0.43,0.33
256,0.13,0.07,0.23,0.22,0.24,0.25,0.27,0.33,0.34
257,0.41,0.45,0.39,0.39,0.44,0.43,0.61,0.66,0.88
258,0.43,0.47,0.44,0.35,0.47,0.41,0.42,0.33,0.35
259,0.3,0.33,0.19,0.3,0.31,0.26,0.18,0.31,0.25
260,0.43,0.41,0.34,0.44,0.42,0.3,0.38,0.33,0.29
261,0.25,0.22,0.21,0.28,0.29,0.32,0.17,0.24,0.26
262,0.26,0.21,0.24,0.24,0.28,0.25,0.29,0.22,0.16
263,0.21,0.22,0.2,0.2,0.13,0.17,0.19,0.18,0.25
264,0.19,0.17,0.23,0.24,0.38,0.2,0.28,0.21,0.41
265,0.12,0.16,0.14,0.19,0.18,0.24,0.19,0.17,0.21
266,0.31,0.4,0.38,0.33,0.27,0.43,0.32,0.3,0.43
267,0.46,0.48,0.38,0.6,0.54,0.58,0.5,0.72,0.73
268,0.31,0.24,0.21,0.29,0.26,0.19,0.21,0.27,0.33
269,0.19,0.21,0.22,0.2,0.31,0.18,0.17,0.22,0.36
270,0.18,0.17,0.09,0.18,0.11,0.15,,0.16,0.08
271,0.13,0.11,0.18,0.17,0.16,0.13,,0.13,0.14
272,0.13,0.07,0.07,0.07,,,,0.08,0.08
273,0.18,0.1,0.15,0.11,0.2,0.12,0.22,0.18,0.24
274,,,0.07,,,0.11,,0.13,0.08
275,0.26,0.26,0.14,0.3,0.2,0.18,0.26,0.13,0.25
276,0.19,0.23,0.15,0.27,0.22,0.29,0.24,0.23,0.25
277,0.14,0.16,0.14,0.21,0.26,0.18,0.3,0.25,0.31
278,0.13,0.1,0.14,0.13,0.12,0.18,0.15,0.12,0.21
279,0.08,0.1,,0.11,0.1,,,0.1,0.09
280,0.25,0.22,0.26,0.29,0.27,0.16,0.16,0.38,0.36
281,0.17,0.1,0.13,0.14,0.24,,,0.13,0.12
282,0.22,0.28,0.28,0.21,0.35,0.33,0.3,0.3,0.33
283,0.3,0.27,0.35,0.43,0.46,0.3,0.26,0.41,0.37
284,0.11,0.21,0.16,0.21,0.21,0.33,0.29,0.22,0.2
285,,,,,,,,,
286,,0.07,0.06,0.05,,,0.11,,0.06
287,0.22,0.24,0.18,0.2,0.26,0.16,0.26,0.17,0.25
