"id","y_2017","y_2021","y_2022"
199,0.0874,0.0874,0.0871
200,0.0409,0.0409,0.0409
201,0.1614,0.1976,0.1976
202,0.1022,0.1017,0.1043
203,0.1455,0.1648,0.1648
204,0.0861,0.0934,0.0931
205,0.0999,0.1101,0.1101
206,0.0639,0.0639,0.0639
207,0.0387,0.0387,0.0384
208,0.2012,0.2012,0.2012
209,0.1468,0.1497,0.1495
210,0.0485,0.0502,0.0502
211,0.1637,0.1635,0.1635
212,0.1327,0.1327,0.1327
213,0.1464,0.1464,0.1463
215,0.1314,0.1313,0.1313
216,0.0782,0.0782,0.0782
217,0.1588,0.1588,0.1588
218,0.1584,0.1586,0.1618
219,0.0968,0.0967,0.0968
220,0.0853,0.0853,
221,0.0931,0.0931,0.0931
222,0.1152,0.1166,0.1166
223,0.1393,0.1393,0.1393
224,0.1023,0.1048,0.1048
225,,,
226,0.0526,0.0526,0.0526
227,0.1537,0.1543,0.1543
228,,0.0462,0.0462
229,0.1633,0.2934,0.3133
230,0.083,0.083,0.0748
231,0.1887,0.2195,0.221
232,0.175,0.1968,0.215
233,0.1227,0.1325,0.1325
234,0.3223,0.3063,0.3064
235,0.2266,0.2288,0.2288
236,0.1172,0.1172,0.1172
237,0.2724,0.2788,0.2787
238,0.225,0.2271,0.2271
240,0.141,0.1484,0.1484
241,0.2002,0.2001,0.2001
242,0.0826,0.0826,0.0826
243,0.007,0.0495,0.0495
244,0.1589,0.1591,0.1591
245,0.0696,0.0696,0.0696
246,0.0735,0.0734,0.0734
247,0.0203,0.0203,0.0203
248,0.016,0.016,0.016
249,0.0338,0.0338,0.0338
250,0.0513,0.0537,0.0362
251,0.0956,0.1139,0.1139
252,0.0774,0.0774,0.0774
253,0.1575,0.1592,0.1588
254,0.0241,0.1518,0.1521
255,0.1603,0.1611,0.1633
256,,,
257,0.1431,0.1588,0.169
258,0.2489,0.2488,0.2488
259,0.1131,0.1173,0.1173
260,0.2322,0.238,0.238
261,0.2028,0.2028,0.2028
262,0.2473,0.2473,0.2473
263,0.1608,0.1828,0.1828
264,0.0883,0.0883,0.0876
265,0.1198,0.1198,0.1226
266,0.1054,0.1054,0.1054
267,0.2255,0.2303,0.2303
268,0.1366,0.1368,0.1375
269,0.157,0.157,0.157
270,0.0217,0.0217,0.0217
271,0.1078,0.1078,0.1078
272,0.0479,0.0479,0.0479
273,0.0483,0.0483,0.0665
274,0.0118,0.0119,0.0122
275,0.1297,0.1297,0.1303
276,0.1439,0.1439,0.1439
277,0.1166,0.1166,0.1436
278,0.0321,0.0321,0.0315
279,,,1e-04
280,0.1382,0.1444,0.1451
281,0.0159,0.0159,0.0159
282,0.0963,0.0992,0.0992
283,0.166,0.166,0.166
284,0.0611,0.0914,0.0914
285,0.1933,0.1933,0.1935
286,0.0252,0.0252,0.0358
287,0.0561,0.0561,
288,0.047,0.0469,
289,0.2202,0.2418,0.2418
290,0.2631,0.2653,0.2656
291,0.0341,0.0341,0.0341
292,0.0987,0.0979,0.0979
293,0.0814,0.0814,0.0814
294,0.0842,0.0842,0.0842
295,0.0643,0.0643,0.0643
296,0.1282,0.1487,0.1488
297,0.0619,0.0619,0.0619
298,0.0148,,
299,0.1226,0.1338,0.1346
300,0.0024,,
301,0.1235,0.1235,0.1235
302,0.1723,0.1723,0.1723
303,0.0632,0.0632,0.0632
304,0.0245,0.0245,0.0245
305,0.0899,0.0899,0.1035
306,0.1043,0.1043,0.1043
307,0.1582,0.1588,0.159
308,0.0904,0.0904,0.0904
309,0.1196,0.1249,0.1249
310,0.1426,0.1426,0.1426
311,0.1684,0.1684,0.1684
312,0.0986,0.0986,0.0986
313,0.1062,0.1063,0.1063
314,0.1105,0.1105,0.1105
315,0.1064,0.1064,0.1064
316,0.1339,0.1339,0.1339
317,0.0542,0.0542,0.0542
318,0.1907,0.1907,0.1907
319,0.2362,0.2428,0.2434
320,0.1429,0.1429,0.1429
321,0.1096,0.1096,0.1096
322,0.097,0.097,0.097
323,0.169,0.171,0.171
324,0.1447,0.1447,0.1447
325,0.2316,0.2316,0.2316
326,0.0663,0.0663,0.0663
327,0.0939,0.0939,0.0939
328,0.0877,0.0876,0.0876
329,0.1469,0.1579,0.1579
330,0.1486,0.1486,0.1535
331,0.1654,0.1793,0.1791
332,0.1202,0.1202,0.1202
333,0.2476,0.2614,0.2615
334,0.0462,0.0465,0.0462
335,0.1627,0.1692,
336,0.1546,0.1606,0.1674
337,0.1408,0.1408,0.1406
338,0.0691,0.0691,0.0691
339,0.1155,0.1142,0.1142
343,0.192,0.1914,0.1914
344,0.121,0.1224,0.1224
345,0.1328,0.1328,0.1325
346,0.2347,0.2345,0.2345
347,0.0865,0.0865,0.0865
348,0.4029,0.4029,0.4121
349,0.1012,0.1012,0.1021
350,0.1277,0.1277,0.1277
351,0.0725,0.0796,0.0796
352,0.0463,0.0461,0.0461
353,0.2401,0.2432,0.2432
354,0.0617,0.0617,0.0617
355,0.0842,0.0842,0.0845
356,0.2821,0.2895,0.2883
357,0.1656,0.1678,0.1694
358,0.2668,0.2667,0.2667
359,0.2096,0.2109,0.2109
360,0.2326,0.2398,0.2398
361,0.1382,0.1427,0.1492
362,0.2065,0.2065,0.2065
363,0.3141,0.3167,0.3166
364,0.2006,0.2006,0.2006
365,0.1348,0.1348,0.1348
366,0.0823,0.0823,0.0812
367,0.3698,0.3698,0.3698
368,0.1569,0.1569,
369,0.1361,0.1361,0.1361
370,0.1698,0.1698,0.1699
371,0.4601,0.4737,0.4802
372,0.7489,0.7546,0.8357
373,0.3119,0.3119,0.3119
374,0.2191,0.2181,0.2181
375,0.3221,0.3221,0.3221
376,0.2551,0.2601,0.2601
377,0.2632,0.2632,0.2635
378,0.435,0.436,0.436
379,0.3276,0.3283,0.3283
380,0.5365,0.537,0.5379
381,0.2506,0.2506,0.2504
382,0.2119,0.2119,0.2119
383,0.2473,0.2473,0.2519
385,0.3346,0.3341,0.3341
386,0.1913,0.1913,0.1925
387,0.3918,0.392,0.392
388,0.1897,0.1897,0.1897
389,0.4587,0.4574,0.4574
390,0.0971,0.1003,0.1003
391,0.2593,0.2593,0.2593
392,0.6251,0.626,0.626
393,0.4563,0.4563,0.4563
394,0.1713,0.1713,0.1725
395,,,
396,,,
397,,,
398,,,
399,,,
400,0.0093,,
401,,,
402,,,
403,,,
404,,,
405,,,
406,,,
407,,,
408,,,
409,,,
410,,,
411,,,
412,,,
413,,,
416,,,
417,,,
418,,,
419,,,
420,,,
421,,,
422,,,
423,,,
424,,,
425,,,
426,,,
428,,,
430,,,
431,,,
432,,,
433,,,
434,,,
435,,,
436,,,
437,,,
438,,,
442,,,
443,0.0119,,
444,,,
445,,,
446,,,
447,,,
448,,,
449,,,
450,,,
451,,,
452,,,
453,,,
454,,,
455,,,
456,,,
457,,,
458,,,
459,,,
460,,,
462,,,
463,,,
464,,,
466,,,
467,,,
468,,,
469,,,
470,,,
471,,,
472,,,
473,,,
474,,,
475,,,
476,0.6914,0.6932,0.6313
