"id","y_2011","y_2013","y_2015","y_2016","y_2017","y_2018","y_2020","y_2021","y_2022"
2,32576,33462,34340,34845,35280,35630,35003,34370,34820
3,123896,123924,123648,123648,120610,121371,116712,108701,109869
4,14280,15036,15840,15928,16016,16500,16020,16148,16340
5,10835,10864,10976,10887,10846,10797,11102,10309,10414
6,43533,44590,45761,46376,46851,47180,46505,43677,43768
7,13860,14382,15336,15372,15480,15984,16107,16263,16381
8,21021,21850,22620,22932,23002,23598,24090,24408,24596
9,16653,17199,17280,16926,16836,15776,15015,14508,14439
10,69658,71760,74028,75222,74844,76736,76224,69068,69493
11,43008,43176,43904,43904,43340,44660,43120,40770,40893
12,,,,,,,,,
13,33048,34160,35739,36540,36598,37288,38613,39060,39571
14,12306,14048,15804,16663,17480,18375,20056,21072,21643
15,29082,29868,31760,31960,33169,33978,35552,35860,36825
16,47840,49938,52316,53595,54740,55883,58310,58050,58837
17,34520,36246,37972,38655,39560,40279,42042,42800,43323
18,29526,30358,30530,30487,30366,29680,29602,29120,29483
19,42370,44760,47124,48246,49368,50850,52348,53439,54524
20,11415,12920,14440,15200,15960,16720,18240,19000,20086
21,11388,12240,12384,12492,12765,13186,12958,12765,13076
22,12784,13090,12950,12950,12922,12600,9900,9072,8312
23,5730,6112,6494,6685,6876,7030,7676,7878,8150
24,18480,19095,19352,19680,20008,20336,22743,21504,21051
25,19458,21150,22869,23884,24998,25860,27488,28380,29042
26,19188,21320,22449,23496,24587,25944,28210,29511,30375
27,9492,10816,12168,12844,13520,14175,14938,16123,16561
28,12800,13209,13050,13050,12936,12737,13100,11472,11684
29,8596,9210,9792,10098,10404,10745,11359,11470,11840
30,5805,6063,6708,6837,6858,7150,6283,5670,5738
31,23329,24510,25650,26266,26450,27401,28322,28800,29327
32,,,,,,,,,
33,1222,1295,1386,1428,1470,1512,1480,1326,1381
34,25467,26247,27757,28085,28659,29450,31030,33200,34687
35,17469,18616,19890,19344,21600,24648,24300,25392,26506
36,24352,25806,27720,28548,28728,29711,31356,32160,33169
37,40114,40131,39690,38997,39060,39816,36403,33459,32847
38,15180,16720,18216,18925,19734,20493,20804,21547,22137
39,20504,22584,23825,25064,25714,26784,28797,29700,30544
40,18693,19899,21105,21245,21924,22464,24016,23484,24148
41,12342,13055,13801,14174,14586,14960,15708,16082,16355
42,9153,9860,10540,10880,11220,11560,12204,12543,12875
43,15457,16254,17160,17204,17550,17940,18624,18864,19205
44,3312,3650,3800,4264,4420,4654,4843,4727,4830
45,5712,7378,9765,11110,12070,13540,16412,17940,19811
46,9476,10275,11097,11508,11919,12330,13152,13563,14141
47,1104,1071,1071,920,1034,989,903,861,877
48,7875,8789,9766,10080,10647,10605,11569,12000,12498
49,23650,25677,26880,28130,29160,30132,31911,34136,35370
50,12992,13804,14652,15059,15466,15873,16646,17178,17452
51,24120,24924,24862,25137,25280,25350,26465,23785,24045
52,9516,9720,10203,10382,10561,10740,10974,10710,10864
53,20064,20709,21812,22302,22833,23364,24426,25051,25836
54,22480,23604,24596,25155,25650,26266,27120,27734,28132
55,20460,21792,23154,23905,23905,24732,25878,26364,26780
56,3400,3600,3780,3885,3990,4095,4223,4368,4466
57,3192,3344,3496,3572,3648,3724,4050,4480,4669
58,9766,10280,10794,11008,11220,11610,11891,12096,12267
59,13055,13801,14508,14880,15170,15624,16211,16598,17033
60,459,416,343,350,336,364,354,228,233
61,5500,6050,6624,6900,7176,7452,8033,8062,8469
62,,,,,,,,,
64,8880,9477,9922,10122,10363,10428,10810,10998,11236
65,364,378,841,348,899,928,240,177,179
66,840,910,980,1015,1050,1085,1155,1190,1230
67,,,,,,,,,122
68,5552,6246,6940,7245,7612,7958,8650,8944,9134
69,8540,9065,9310,9633,9840,10209,10277,10560,10593
70,26622,27666,28600,29120,29640,30102,31020,31080,31714
71,5460,5916,6360,6572,6784,7029,6902,7105,7300
72,4216,4693,5166,5412,5612,5832,6266,6534,7654
73,22440,24984,26550,25725,28496,29536,30914,32736,34406
74,4644,4988,5332,5504,5676,5848,6192,6364,6577
75,2610,3132,3668,3930,3870,4240,4770,5035,5299
76,9444,11640,13260,14950,16422,17595,18592,19872,21057
77,7912,10350,12624,13676,14714,15765,17850,17765,19307
78,4485,5252,5880,6405,6832,7259,8094,8520,8914
79,,,,,,,,,
80,1058,1104,1150,1173,1122,1144,1188,1007,1032
81,4480,5040,5600,5880,6160,6440,7000,7280,7685
82,3040,3800,4560,4920,5244,5694,6570,6992,7434
83,10841,11466,11640,9944,12054,12432,12513,12986,13024
84,12056,12512,12672,11679,11040,11745,10648,9460,9564
85,34938,35896,36888,36772,37229,37680,37820,35836,36189
86,1288,1334,1380,1403,1426,1449,1360,930,961
87,18354,18526,19093,19344,19344,19947,20088,19902,20012
88,23088,23700,23919,24232,24648,24633,24276,23400,23857
89,16470,17568,18700,19215,19800,20350,21372,21800,22164
90,17861,18590,19266,19604,19883,20340,20894,21042,21288
91,20880,22240,23630,24325,24984,25678,27066,27800,28422
92,,,,,,,,,
93,,,,,,,,,
94,13490,14200,14910,15222,15576,15885,16591,16992,17294
95,5310,6018,6726,7080,7434,7788,8496,8875,9214
96,10302,11514,12705,13310,13938,14564,15750,16172,16983
97,17404,19236,21045,21960,22900,23816,25648,26593,27296
98,9360,11032,12135,13440,13696,15000,17376,18450,19986
99,25116,26445,27735,28380,29025,29670,30912,31458,32218
100,15505,16391,17277,17199,17560,18081,18920,18612,19109
101,2730,2790,2970,3115,3115,3276,3276,3420,3508
102,10778,11376,12046,12402,12720,13038,13588,13692,13997
103,2724,3192,3632,3859,4104,4332,4788,4994,5127
105,7350,7644,7990,8127,8484,8610,9102,9348,9689
106,1862,1938,1976,2014,2052,2090,2320,2065,2024
107,1325,1375,1425,1450,1475,1500,1488,1323,1350
108,10200,11050,11956,12296,12810,13237,13472,14130,14634
109,9316,10716,11940,11400,12663,13398,14640,15264,15810
110,11822,12975,13959,14504,15051,15540,15841,16512,16677
111,6660,7826,9212,9912,10136,11570,13344,15996,16877
112,13636,14413,15360,15776,16576,17024,18270,18420,19052
113,19935,23392,25578,27455,28253,30100,33096,35440,36422
114,12012,12366,12712,12939,13166,13334,11346,9238,9194
115,10140,11664,15202,16932,18343,19754,22544,23953,24666
116,13365,13608,15025,14976,15801,16324,16422,17874,18656
117,8288,10920,12485,13896,15249,16237,19530,22092,23265
118,11232,11648,12780,12960,13290,13764,14520,15062,15314
119,17822,18720,19614,20081,20548,20970,21714,22002,22622
120,11868,12056,12232,12364,12628,13095,11439,11726,12119
121,27462,28608,29850,30294,30992,31641,35365,33208,33520
122,,,,,,,,,
123,29124,30742,32320,33128,33936,34744,36315,36570,37066
124,33720,34844,35968,36400,36762,37319,37812,34362,35008
125,19536,21744,23175,24154,25083,25704,27216,27482,28994
126,657,480,616,672,749,920,1125,1250,1383
127,10989,11620,12247,12616,12948,13360,13448,13608,14026
128,27976,28998,30016,30495,30972,31565,32574,32696,33260
129,18538,19964,21390,22103,22816,23529,24955,25668,26354
130,15000,16406,17145,17640,18473,18954,19525,21384,22097
131,13040,14658,16148,17135,17904,18650,20088,20844,21295
132,16520,16958,17577,17856,18005,18018,17420,15611,15561
133,11712,12250,12444,12740,12740,12948,12744,12455,12638
134,5550,5920,6290,6475,6660,6845,7242,7490,7717
135,,,,,,,,,
136,8393,9468,11284,12120,13216,14348,15174,15912,16961
137,9265,9918,10960,11403,12166,12742,12984,13650,13987
138,12600,13052,13554,13805,14000,14193,14307,14161,14578
139,11132,12072,12550,13000,13554,14000,14413,14645,15271
140,32802,34650,35640,36519,37506,38649,40057,40677,41397
141,15045,14508,14850,15180,15015,15232,14964,14384,14448
142,9731,10257,10783,11046,11309,11528,12098,11985,12277
143,10850,11616,12355,12600,12636,12960,13566,14079,14266
144,4200,4530,4830,4959,5292,5432,5760,6014,6211
145,10611,11397,12183,11913,12969,13396,13176,13542,14009
146,13920,14950,16173,16940,17724,18357,19623,20032,20436
147,15136,16170,17465,17442,18428,18734,19692,20128,20811
148,11685,12580,13838,14444,15096,15768,16950,17758,17983
149,1258,1357,1426,1426,1403,1464,1560,1634,1696
150,10165,11235,12305,12792,13400,13962,14508,15444,16135
151,8790,9999,11804,12712,13785,14896,16686,17575,18293
152,5700,6174,6785,6670,7056,7500,8112,8325,8669
153,11025,13475,15925,17122,18390,19616,22014,23237,24362
154,9646,11145,12614,13320,14117,14860,16456,18400,18760
155,12480,14454,16300,16980,17461,18520,20460,21643,22423
156,12936,14846,17760,18315,19792,21318,23902,24412,26125
157,12672,19497,13160,13348,13104,13067,13032,11644,11682
158,26586,29601,32200,33488,34034,35640,38193,39810,40741
159,12690,12716,13365,13420,13770,13905,13905,13545,13783
160,29073,30800,32597,33440,34320,35160,35720,37160,37774
161,2759,2937,3102,2820,2813,3050,3300,3168,3336
162,18927,20300,21576,22272,22968,23630,25020,25604,26252
163,16046,16344,15708,14016,13747,13310,11752,11350,11613
164,25493,26455,27360,27840,28143,28320,29078,26164,26425
165,3855,4318,4826,5080,5292,5544,6048,6300,6559
166,3520,3740,3960,4070,4180,4290,4469,4551,4716
167,2929,3131,3333,3366,3400,3535,3700,3800,3912
168,17960,18858,19756,20250,20654,21103,22001,22350,22923
169,2982,3834,4686,5112,5538,5964,6816,7242,7500
170,5364,6258,7184,7616,8064,8645,9597,10054,10365
171,3162,3534,3906,4092,4278,4464,4836,4995,5218
172,2965,4179,5382,6010,6600,7272,8372,9540,10130
173,6363,6930,7848,8184,8352,8750,8944,9288,9615
174,15080,16156,17280,17856,18400,18777,18768,19250,19517
175,21111,22473,24045,24696,25345,25530,26871,27400,28230
176,14610,16558,18506,19440,20454,21472,23424,24400,25549
177,17310,18464,19584,20230,20265,21132,21888,22116,22703
178,7056,7392,7728,7849,7968,8256,8170,8159,8443
179,28890,30127,31458,31750,31600,32100,32793,31800,32163
180,14415,15456,16128,16640,16928,17523,18480,16966,17711
181,14743,16475,17810,18630,18711,19432,20730,21421,22427
182,5475,5913,6351,6570,6789,7008,7446,7665,7909
183,6630,6960,7266,7224,7439,7612,7774,7990,8221
184,41280,42090,42151,42029,41663,41760,39648,37506,36928
185,,,,,,,,,68
