"id","y_2011","y_2013","y_2015","y_2016","y_2017","y_2021"
140,0.04,0.04,0.04,0.0355,0.04,0.0403
141,0.03,0.03,0.03,0.0294,0.03,0.0294
142,0.03,0.03,0.03,0.0304,0.03,0.0304
143,,,,,,
144,0.02,0.02,0.02,0.016,0.02,0.016
145,0.02,0.02,0.02,0.0195,0.02,0.0195
146,0.04,0.04,0.04,0.0415,0.04,0.0552
147,0.02,0.02,0.02,0.0214,0.02,0.0214
148,0.01,0.01,0.01,0.0107,0.01,0.0107
149,,,,,,
150,0.02,0.02,0.02,0.0211,0.02,0.0211
151,,,,,,
152,0.06,0.06,0.06,0.056,0.06,0.056
153,0.04,0.04,0.04,0.0384,0.04,0.0384
154,,,,,,
155,0.05,0.05,0.05,0.0534,0.05,0.0534
156,0.03,0.03,0.03,0.0254,0.03,0.0255
157,0,0,0,,,0.0057
158,0.04,0.04,0.04,0.0404,0.04,0.0404
159,0.03,0.03,0.03,0.0064,0.01,0.0064
160,0.03,0.03,0.03,0.0285,0.03,0.0285
161,0.02,0.02,0.02,0.0201,0.02,0.0201
162,,,,,,
163,,,,,,
164,0.01,0.01,0.01,0.0114,0.01,0.0114
165,,,,,,
166,,,,,,
167,,,,,,
168,,,,,,
169,0.01,0.01,0.01,0.012,0.01,0.012
170,,,,,,
171,,,,,,
172,0.02,0.02,0.02,0.0168,0.02,0.0168
173,,,,,0,5e-04
174,0.08,0.08,0.08,0.0797,0.08,0.0797
175,0.01,0.01,0.01,0.0128,0.01,0.0128
176,0.01,0.01,0.01,0.013,0.01,0.013
177,0.04,0.04,0.04,0.044,0.04,0.044
178,0.06,0.06,0.06,0.0562,0.06,0.0564
179,0.02,0.02,0.02,0.0169,0.02,0.0169
180,0,0,0,0.0012,0,0.0012
181,0.05,0.05,0.05,0.0519,0.07,0.067
182,,,,,,
183,,,,,,
184,0.01,0.01,0.01,0.0116,0.01,0.0116
185,,,,,,
186,0.07,0.07,0.07,0.067,0.07,0.067
187,,,,,,
188,,,,,,
189,0,0,0,0.002,0,0.002
190,,,,,,
191,0.03,0.03,0.03,0.0327,0.03,0.0327
192,0.03,0.03,0.03,0.032,0.03,0.032
193,0.01,0.01,0.03,0.029,0.03,0.029
194,0.04,0.04,0.04,0.0356,0.04,0.0356
195,0.02,0.02,0.02,0.0177,0.02,0.0177
196,0.05,0.05,0.05,0.0544,0.05,0.0544
197,0.02,0.02,0.02,0.0152,0.02,0.0152
198,0.04,0.04,0.03,0.0319,0.03,0.0319
199,,,,,,
200,0.01,0.01,0.01,0.0068,0.01,0.0093
201,0.08,0.08,0.05,0.0425,0.04,0.0425
202,0.02,0.02,0.02,0.0194,0.02,0.0194
203,0.02,0.02,0.02,0.0153,0.02,0.0153
204,0.01,0.01,0.01,0.0098,0.01,0.0098
205,0,0,0,0.0024,0,0.0024
206,,,,,,
207,0.02,0.02,0.02,0.0221,0.02,0.0221
208,0.01,0.01,0.01,0.0112,0.01,0.0112
209,0.04,0.04,0.04,0.04,0.04,0.04
210,0.02,0.02,0.02,0.0152,0.02,0.0152
211,0.04,0.04,0.04,0.0418,0.04,0.0418
212,0.02,0.02,0.02,0.0203,0.02,0.0203
213,,,,,,
215,0.01,0.01,0.01,0.0094,0.01,0.0094
216,,,,,,0
217,0.02,0.02,0.02,0.0201,0.02,0.0201
218,0.05,0.05,0.04,0.0448,0.05,0.0448
219,0.07,0.07,0.07,0.0679,0.07,0.0679
220,0,0,0,0.0029,0,0.0029
221,0.03,0.03,0.03,0.0279,0.03,0.0279
222,0.01,0.01,0.01,0.0074,0.01,0.0074
223,0.03,0.03,0.03,0.0333,0.03,0.0333
224,0.06,0.06,0.04,0.0431,0.04,0.0431
225,0.02,0.02,0.02,0.0183,0.02,0.0183
226,0,0,0,0.0044,0,0.0044
227,0.03,0.03,0.03,0.0265,0.03,0.0265
228,0.01,0.01,0.01,0.0114,0.01,0.0114
229,0.03,0.03,0.03,0.0265,0.04,0.0352
230,0.01,0.01,0.01,0.0052,0.01,0.0052
231,0.05,0.05,0.05,0.0463,0.05,0.0463
232,,,,,,
233,0.06,0.06,0.06,0.0578,0.06,0.0578
234,0.02,0.02,0.02,0.0153,0.02,0.0153
235,0.02,0.02,0.02,0.0245,0.02,0.0245
236,0.04,0.04,0.04,0.0361,0.04,0.0361
237,0.02,0.02,0.02,0.0211,0.02,0.0314
238,,,,,,
240,0.02,0.02,0.02,0.0115,0.01,0.0115
241,0.07,0.07,0.04,0.0392,0.04,0.0392
242,0.02,0.02,0.02,0.0242,0.02,0.0242
243,0.02,0.02,0.02,0.024,0.02,0.024
244,0.04,0.04,0.04,0.0439,0.04,0.0439
245,,,,,,
246,,,,,,
247,,,,,,
248,0.01,0.01,0.01,0.0115,0.01,0.0115
249,,,,,,
250,0.01,0.01,0.01,0.0051,0.01,0.0051
251,0.03,0.03,0.03,0.0336,0.03,0.0338
252,0.02,0.02,0.02,0.0192,0.02,0.0192
253,0.02,0.02,0.02,0.0225,0.02,0.0375
254,0.05,0.05,0.05,0.0495,0.05,0.0495
255,,,,,,
256,,,,,,
257,0.02,0.02,0.02,0.0214,0.02,0.0214
258,0.02,0.02,0.02,0.0179,0.02,0.0179
259,0,0,0,0.0025,0,0.0025
260,0.02,0.02,0.02,0.0157,0.02,0.0157
261,0.06,0.06,0.06,0.0583,0.06,0.0583
262,0.04,0.04,0.04,0.0401,0.04,0.0401
263,0.01,0.01,0.01,0.0086,0.01,0.0086
264,0.03,0.03,0.03,0.0319,0.03,0.032
265,0.03,0.03,0.03,0.0304,0.03,0.0304
266,0.11,0.11,0.1,0.1046,0.11,0.1046
267,,,,,,
268,,,,,,
269,0.01,0.01,0.01,0.0087,0.01,0.0087
270,0.01,0.01,0.01,0.0057,0.01,0.0057
271,,,,,,
272,0.06,0.06,0.06,0.0567,0.06,0.0568
273,0.04,0.04,0.04,0.0387,0.04,0.0387
274,0.02,0.02,0.02,0.0164,0.02,0.0164
275,0.06,0.06,0.06,0.0567,0.06,0.0567
276,0.03,0.03,0.03,0.0263,0.03,0.0263
277,0.02,0.02,0.02,0.0162,0.02,0.0162
278,,,,,,
279,0.01,0.01,0.01,0.0079,0.01,0.0079
280,0,0,0,0.0043,0,0.0043
281,,,,,,
282,0.05,0.05,0.05,0.046,0.05,0.046
283,0.03,0.03,0.03,0.0289,0.03,0.0289
284,0.03,0.03,0.03,0.0298,0.03,0.0298
285,0.04,0.04,0.04,0.0402,0.04,0.0402
286,0.06,0.06,0.06,0.0638,0.06,0.0638
287,0.04,0.04,0.04,0.0403,0.04,0.0403
288,,,,,,
289,0.07,0.07,0.07,0.0677,0.07,0.0677
290,,,,,,
291,,,,,,
292,0.03,0.03,0.03,0.0279,0.03,0.0279
293,,,,,0,9e-04
294,0.02,0.02,0.02,0.0159,0.02,0.0159
295,0,0,0,0.0017,0,0.0131
296,,,,,,
297,,,,,,
298,0.01,0.01,0.01,0.0053,0.01,0.0053
299,0.03,0.03,0.03,0.0333,0.03,0.0334
300,0.02,0.02,0.02,0.0223,0.02,0.0223
301,0.03,0.03,0.03,0.0333,0.03,0.0333
302,0.02,0.02,0.02,0.0179,0.02,0.0179
303,0.01,0.01,0.01,0.0105,0.01,0.0105
304,,,,,,
305,,,,,,
306,0.02,0.02,0.02,0.019,0.02,0.019
307,0.04,0.04,0.04,0.0384,0.04,0.0384
308,0.04,0.04,0.04,0.0358,0.04,0.0358
309,0.01,0.01,0.01,0.0127,0.01,0.0127
310,,,,,,
311,0.03,0.03,0.03,0.0266,0.03,0.0303
312,,,,,,
313,0.03,0.03,0.03,0.0307,0.03,0.0307
314,0.05,0.05,0.04,0.0359,0.04,0.0359
315,0.02,0.02,0.02,0.0164,0.02,0.0164
316,0.05,0.05,0.05,0.0472,0.05,0.0472
317,0.01,0.01,0.01,0.0075,0.01,0.0075
318,0.02,0.02,0.02,0.0196,0.02,0.0196
319,0.03,0.03,0.03,0.0264,0.03,0.0264
320,,,,,,0
321,,,,,,
322,,,,,,0
323,,,,,0,6e-04
324,,,,,,
325,,,,,,0
326,0.01,0.01,0.01,0.0107,0.01,0.0107
327,,,,,,
328,0.01,0.01,0.01,0.0118,0.01,0.0118
329,0,0,0,0.0025,0,0.0025
330,0.01,0.01,0.01,0.0075,0.01,0.0075
331,0.05,0.05,0.05,0.0538,0.05,0.0538
332,0.07,0.07,0.06,0.0648,0.07,0.0648
333,0.03,0.03,0.03,0.0294,0.03,0.0294
334,0.02,0.02,0.02,0.0211,0.02,0.0211
