id,y_2013,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021
2,723,708,707,841,914,902,849,929
3,2300,1965,2087,2361,2573,2701,2780,3462
4,299,263,367,385,393,435,451,536
5,438,486,494,542,517,495,523,563
6,1286,1245,1291,1365,1446,1403,1342,1475
7,300,241,297,330,333,342,339,378
8,559,519,511,543,587,609,557,795
9,226,208,249,230,228,229,266,315
10,2033,1774,1842,1792,1972,2032,1866,2414
11,731,797,875,917,865,1111,1005,1187
12,251,291,315,285,336,366,375,428
13,874,790,888,1056,1119,1105,989,1145
14,712,871,901,1152,1176,1215,1153,1440
15,820,797,957,1003,1051,1119,994,1232
16,1581,1505,1642,1813,1922,1884,1825,2079
17,1233,1215,1284,1483,1663,1607,1437,1735
18,807,714,923,830,854,957,871,1095
19,1365,1475,1519,1566,1818,1883,1736,2225
20,712,712,831,811,815,728,759,927
21,722,654,679,722,727,836,791,884
22,335,394,373,420,448,474,551,694
23,373,405,434,456,541,484,439,540
24,381,427,423,425,428,419,391,559
25,1007,968,1029,1096,1130,1269,1156,1508
26,28,26,22,36,21,32,33,27
27,472,472,538,689,680,682,737,939
28,311,356,338,320,398,434,409,482
29,433,419,531,576,594,667,619,840
30,225,200,265,304,305,337,318,402
31,644,620,678,759,843,860,686,971
32,165,143,149,155,158,152,180,258
33,91,52,38,44,67,98,84,101
34,900,891,907,1414,1754,1785,1379,1781
35,42,80,59,59,95,71,82,72
36,1194,1213,1427,1400,1470,1526,1447,1789
37,1055,983,1069,1120,1184,1252,1166,1452
38,617,643,708,744,873,899,858,1018
39,821,859,995,1187,1293,1194,1236,1571
40,816,814,956,988,1081,1316,1152,1257
41,574,533,612,766,851,854,699,933
42,500,418,579,665,743,727,648,793
43,486,507,525,547,658,531,480,654
44,109,127,120,154,210,199,145,174
45,570,781,727,1191,1181,1259,1098,1511
46,554,532,560,658,717,756,733,856
47,37,38,43,30,38,27,36,45
48,54,69,111,115,140,135,114,128
49,404,422,416,515,568,511,494,672
50,560,633,673,776,833,840,812,1024
51,495,527,544,570,592,683,609,622
52,415,442,431,436,469,504,524,519
53,1042,1078,1032,1051,1104,1106,1015,1303
54,770,695,779,843,855,1025,870,962
55,794,865,866,978,1053,1048,913,1321
56,258,271,311,356,411,428,386,458
57,373,288,268,318,580,422,382,425
58,345,310,316,366,380,383,462,569
59,411,427,465,510,499,617,572,667
60,260,247,262,333,298,327,383,360
61,345,330,327,448,477,422,383,423
62,1,4,3,1,3,7,3,4
64,649,640,632,673,748,811,797,830
65,29,72,90,175,164,152,176,196
66,144,121,156,138,189,187,192,220
67,31,21,32,23,35,56,59,63
68,639,600,569,653,784,819,744,988
69,275,216,253,265,322,340,299,385
70,863,808,937,955,1078,1069,945,1094
71,489,583,615,584,617,549,506,701
72,177,235,178,254,298,289,329,398
73,655,621,665,665,796,855,838,1107
74,404,472,436,445,480,527,466,576
75,126,129,184,152,155,168,201,256
76,370,361,345,299,444,451,439,534
77,665,645,707,773,828,915,873,1021
78,485,406,468,483,644,641,588,703
79,131,126,154,152,160,135,140,174
80,95,87,109,113,145,150,157,184
81,253,235,244,255,329,312,294,402
82,271,411,389,349,477,467,488,582
83,25,40,41,23,29,40,32,29
84,9,51,19,11,18,24,20,13
85,1231,1245,1113,1339,1404,1308,1249,1463
86,373,387,441,434,402,464,409,415
87,393,371,436,544,521,522,479,623
88,849,810,972,998,1005,1010,994,1081
89,649,605,662,699,778,764,728,860
90,483,536,456,549,543,527,533,607
91,761,798,901,961,1016,1168,1013,1263
92,76,76,106,79,92,87,116,103
93,79,98,82,103,111,109,102,115
94,636,592,607,668,755,796,652,791
95,323,313,368,476,449,512,514,557
96,642,709,703,813,903,961,800,1138
97,810,813,930,1031,1162,1145,1146,1338
98,463,570,825,1009,1083,1170,1394,1935
99,783,812,884,996,1102,1037,1015,1209
100,851,838,923,984,1122,1144,1052,1269
101,150,115,131,166,152,274,184,206
102,391,401,427,528,474,464,474,550
103,304,295,362,401,464,445,415,595
105,138,145,184,153,211,232,236,264
106,249,188,154,168,194,190,181,305
107,88,72,93,93,87,91,94,64
108,292,293,337,370,318,364,354,581
109,354,253,274,292,381,375,348,510
110,236,276,237,350,326,361,359,480
111,617,781,632,1166,1307,1444,1392,1506
112,119,107,108,120,155,162,126,139
113,1398,1456,1501,1787,2010,2139,2224,2664
114,318,281,312,401,426,377,364,377
115,1158,843,828,925,1040,1005,1026,1193
116,506,516,600,638,660,657,656,774
117,1164,1251,1261,1882,2002,2079,1955,2698
118,395,346,391,388,425,438,447,481
119,637,533,532,573,819,760,597,764
120,436,454,532,639,654,687,656,739
121,801,829,789,955,1056,1120,950,1221
122,,,,,,,,11
123,879,892,1046,1250,1338,1312,1335,1590
124,956,1008,1150,1203,1293,1389,1116,1410
125,1114,1091,1146,1267,1521,1582,1519,1954
126,168,188,146,96,168,161,154,210
127,383,389,436,500,528,647,596,659
128,888,879,974,1005,1015,1153,906,1007
129,781,807,815,871,915,1048,892,1112
130,19,47,41,50,41,58,58,58
131,714,619,668,770,784,1022,882,901
132,313,296,246,302,319,301,324,343
133,327,249,299,355,378,404,395,523
134,290,242,265,362,415,388,315,304
135,105,102,142,143,165,168,148,154
136,498,486,509,582,704,717,683,818
137,694,703,647,806,839,841,806,1182
138,405,387,428,448,453,520,395,563
139,666,629,679,771,976,991,925,1033
140,1111,1104,1214,1334,1408,1448,1474,1796
141,525,399,424,469,485,517,480,599
142,763,828,821,880,995,905,834,1042
143,619,581,601,742,731,809,685,809
144,228,255,293,344,409,393,315,444
145,178,180,145,219,190,185,215,262
146,569,610,697,729,707,862,867,993
147,660,756,846,892,865,964,775,1060
148,563,610,601,815,1018,947,844,1091
149,132,59,63,54,61,100,107,104
150,692,677,676,771,891,1099,927,1172
151,713,666,813,829,910,1035,847,1095
152,274,321,305,327,415,449,482,559
153,930,947,996,1197,1279,1301,1313,1739
154,673,616,609,872,895,890,857,1166
155,857,911,938,1064,1031,1117,1138,1383
156,774,872,1030,1053,1149,1192,1534,1663
157,403,315,383,351,375,412,362,460
158,1209,1304,1341,1589,1588,1637,1454,1760
159,614,551,534,643,612,731,619,682
160,1342,1372,1418,1712,1679,1884,1651,1930
161,149,202,248,315,291,256,251,307
162,695,606,711,726,791,939,843,875
163,301,357,438,460,359,489,445,542
164,987,1029,1185,1220,1227,1134,1039,1211
165,385,409,398,390,448,467,435,515
166,218,202,207,166,231,227,246,258
167,159,159,137,153,203,178,176,192
168,573,528,545,630,769,784,698,771
169,186,178,190,238,244,349,252,385
170,291,302,340,417,441,430,378,533
171,162,156,178,223,225,274,269,321
172,328,359,424,448,464,574,542,750
173,569,590,613,641,683,619,643,761
174,287,335,324,385,404,475,426,525
175,727,727,822,899,961,950,945,1072
176,798,798,824,946,1085,1017,1028,1240
177,702,643,714,779,932,937,821,1015
178,190,173,255,246,307,345,384,385
179,619,620,726,830,761,842,786,921
180,539,506,548,626,706,694,661,782
181,788,827,849,973,1126,1220,1098,1160
182,411,418,515,556,512,517,473,605
183,231,218,234,270,231,289,259,292
184,599,462,521,569,674,624,653,838
185,111,151,128,136,166,209,204,249
186,932,909,918,1017,1059,1155,1147,1230
187,199,213,155,199,214,242,207,311
188,270,209,282,458,503,368,321,411
189,41,29,71,74,75,87,44,69
190,581,526,530,621,648,637,593,796
191,552,575,569,640,674,737,694,825
192,463,610,811,803,735,695,724,1079
193,330,333,367,368,419,445,408,579
194,584,660,674,805,850,845,793,852
195,353,329,363,492,455,538,481,571
196,588,639,670,686,861,862,736,949
197,526,559,581,734,786,788,717,929
198,386,384,398,479,485,552,516,656
199,535,653,666,661,748,671,671,768
200,58,105,95,132,107,77,128,150
201,537,568,634,684,760,692,697,919
202,613,569,657,712,751,756,743,783
203,394,466,569,727,927,753,788,1016
204,205,255,338,357,286,361,293,394
205,267,293,258,413,436,412,449,560
206,220,255,218,332,351,418,378,436
207,106,83,100,133,160,208,267,321
208,587,511,616,634,607,683,695,834
209,813,787,764,1026,1200,1085,985,1245
210,167,167,176,243,262,268,207,252
211,790,938,987,1083,1177,1275,1272,1561
212,409,434,571,634,711,713,594,729
213,487,485,440,520,505,574,526,596
215,294,338,375,442,500,471,438,536
216,232,238,251,247,274,276,237,329
217,458,437,517,518,641,584,572,738
218,782,775,853,1017,1049,1063,979,1198
219,345,305,366,348,376,470,462,601
220,401,343,369,395,416,452,460,502
221,380,453,417,452,544,546,606,657
222,478,504,600,722,647,668,619,828
223,868,806,945,1118,1391,1618,1206,1354
224,535,519,520,606,677,675,571,724
225,12,5,23,14,20,16,14,28
226,253,241,229,305,288,291,297,413
227,527,598,738,778,961,1015,874,1166
228,4,9,8,10,181,343,384,900
229,785,1220,1209,1546,1497,1696,1775,2429
230,406,373,483,508,538,538,455,544
231,521,554,570,748,802,805,823,1062
232,778,946,968,985,1133,1133,1089,1348
233,432,427,569,631,682,761,615,783
234,1203,1209,1424,1436,1707,1808,1629,1821
235,748,683,733,797,868,944,920,1018
236,249,260,251,237,304,266,262,345
237,947,1147,1255,1601,1557,1712,1730,2121
238,1000,1072,1091,1353,1543,1439,1349,1636
240,666,623,720,755,826,824,824,990
241,561,574,645,716,801,895,744,994
242,372,442,454,517,579,569,622,777
243,33,28,27,31,210,569,985,1116
244,563,684,531,642,851,774,742,1021
245,308,338,368,325,415,401,439,505
246,516,506,582,535,602,601,550,722
247,128,143,145,142,136,175,150,145
248,141,184,197,226,241,238,192,250
249,208,194,206,224,225,289,202,244
250,290,308,332,384,392,391,436,461
251,595,519,625,744,795,724,762,1023
252,288,283,277,441,405,438,423,495
253,368,381,391,413,498,527,529,660
254,79,137,136,136,146,189,183,251
255,511,587,559,656,752,742,751,945
256,45,80,80,102,128,147,165,145
257,344,401,340,454,711,785,608,734
258,1338,1270,1566,1618,1669,1768,1622,2019
259,706,660,853,959,1007,1003,977,1151
260,1292,1302,1421,1588,1762,1915,1659,2072
261,1075,1116,1130,1133,1278,1366,1263,1567
262,860,817,918,980,1127,1266,1166,1334
263,953,1048,1019,1131,1167,1237,1180,1448
264,405,392,503,547,562,718,619,720
265,482,516,500,647,644,625,684,741
266,425,544,758,759,719,812,758,871
267,989,1006,1014,1240,1488,1336,1493,1752
268,588,646,695,871,988,913,875,1104
269,715,777,801,900,1101,1060,988,1249
